Hybridization REF	TCGA-AA-A00K-01A-02R-A002-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.353583333333333
CREB3L1	1.60675
RPS11	0.968
PNMA1	-1.68225
MMP2	-0.470833333333333
C10orf90	-3.08375
ZHX3	-0.109166666666667
ERCC5	0.5015
GPR98	-1.328625
RXFP3	0.525
APBB2	-0.68975
PRO0478	0.128875
KLHL13	-3.90475
PRSSL1	-0.8485
PDCL3	0.373
DECR1	0.46525
SALL1	-2.84183333333333
CADM4	-1.00166666666667
RPS18	0.03
HNRPD	-0.37225
CFHR5	0.832666666666667
SLC10A7	0.070625
OR2K2	-0.1195
LMAN1	-0.76125
SUHW1	-2.9245
CHD8	-0.4654
SUMO1	0.0937000000000001
GP1BA	-0.1364
DDB1	-0.315833333333333
MYO9B	-0.0394
MMP7	6.34375
CRNKL1	0.145875
C9orf45	-1.32883333333333
XAB2	-0.008375
RTN1	0.090625
KLHL14	-1.712625
TBX10	1.8955
CENPQ	-1.56675
UTY	1.6275
ZBTB12	0.1735
DTNBP1	0.25025
KBTBD8	0.522833333333333
ZEB1	0.0288333333333333
ZG16	5.73875
MIER1	0.9295
ADAM5P	0.5845
CHD9	-0.2555625
STK16	-0.10425
KIAA1486	-0.356
TOB2	1.13125
BANK1	1.8295
OR2V2	0.307
GRM2	-0.0983333333333334
PROSC	1.273
SPIN2B	1.0035
PIR	-1.65144444444444
IPO9	-0.1418
EVC	-1.44666666666667
CXCL13	2.96666666666667
KIAA1199	0.9998
SORL1	1.81625
NAT10	0.409
CHD1	-0.02575
SYN3	0.25775
SLC22A2	-0.85775
SERPINF1	-1.90116666666667
WDR34	-0.55275
OR7A17	-0.0235
C9orf11	-0.4105
RNF216L	-0.5935
LHB	0.2055
STK25	0.02075
TAOK3	1.150625
LOC152573	-1.6925
C3orf39	0.141375
C14orf108	0.5412
CDC25B	0.865
BMP3	0.6415
TMEM180	-0.27
MAP1LC3C	-0.76475
CRYGC	-0.9765
POU3F1	-1.1272
C20orf32	-1.7525
CCDC95	-0.174
HIGD1B	1.67275
USP6NL	0.54925
ABCD4	-0.256166666666667
DIMT1L	-0.380916666666667
TEK	0.198
SLC25A46	-0.164
LARP7	-1.6944
CD160	-0.231833333333333
MT1JP	-1.612
PHF20	-0.5155
CPNE4	-2.11175
GTPBP1	-0.477928571428572
RAB33B	0.258666666666667
ALDOC	-0.58375
ZNF212	-0.6665
NUDT1	-0.7705
RFPL2	-1.36075
ZNF83	-0.678
GDPD5	-0.4065
PDCD4	0.26625
CEP350	-0.462
OR10A2	0.08425
CST7	-0.07625
CIAO1	-0.42725
SELL	0.061
OR8J3	2.071
LTBP4	0.142833333333333
SIRT6	1.475
CCL19	3.042
PPIL1	-0.612
GBP7	0.156166666666667
STK17A	-0.8087
ABR	1.59275
OR9G1	0.786
FOXE1	-0.864875
CNGA3	0.3765
GML	-0.284
CD38	-1.368
ZDHHC6	0.385333333333333
NEFH	-3.486
CTDSP2	0.415666666666667
PGBD5	-2.20783333333333
CCNY	0.6345
RMND5B	-0.336333333333333
ZNF257	-3.4
FLJ22167	-0.074125
EXOSC7	-0.251833333333333
ROR2	-0.888625
MAOA	4.74275
TNNT3	0.124
GYPC	-1.81625
C7orf33	-0.002
PLIN	-0.234
LOC90826	-0.82575
RNF4	-0.2285
F8A1	0.2595
PLEKHG4	-0.26475
GRB2	0.0679
HIST1H2AD	-1.80275
DUS3L	0.341333333333333
EIF1	-0.552333333333333
RP5-1077B9.4	-0.562166666666667
FPGT	0.5965
GDF10	-1.1595
COQ9	0.085
GCC2	0.494285714285714
RARRES3	0.78725
PLXNA1	0.0212
KIAA0100	-0.3395
PMF1	-0.377
FNDC1	4.53475
HS2ST1	0.380333333333333
CRELD2	0.7085
C8G	-1.0835
CD82	-0.2165
LIM2	-2.6105
UNQ6490	0.2065
MMP16	-0.643
DRD3	-0.2385
C5orf26	-0.4665
C11orf73	-0.66825
PTP4A2	0.277625
OR4M2	0.661
HPCA	-0.0735
SEC14L1	-1.247
CHFR	-0.71425
EMILIN1	0.491125
NDUFS4	-0.90925
COL18A1	-0.75375
PDZD3	3.3346
C9orf16	0.336833333333333
ERBB2IP	0.014
EMX2	0.1915
FUS	-0.49425
TF	-3.929
CLCN4	-0.258166666666667
CXorf56	0.3545
C11orf72	0.31
ELAC2	-0.19025
NPR1	-1.43175
ASS1	1.195
USP42	-0.249
POLR2J	-0.8045
SEC23IP	0.428333333333333
UQCRC1	1.27075
LOC729603	0.35375
C1orf71	-0.719125
POLG	-1.2625
ADAM23	-3.88625
TFR2	-1.064
RICTOR	-1.006
MGC39606	0.18075
C19orf55	0.041875
SNAPC1	-2.21983333333333
GNA11	1.446125
CCDC52	-0.445
FSIP1	4.0295
UPF3A	-0.617125
IGSF11	-2.38916666666667
LAGE3	0.315
CHST6	-1.5865
UNC13B	0.4235
TTLL4	-0.135125
ZNF687	-0.23975
SDC2	-1.623
COX7A2	0.14875
LAMB4	-0.04475
FAM24A	0.767
LRRTM3	-0.723666666666667
GPHB5	0.08
OR4C13	1.1165
EIF3EIP	0.195214285714286
HABP4	-0.244
TMEM125	3.727
CNTN2	-0.631625
ASNSD1	-0.6025
FUT4	2.622375
ACF	1.89875
LOC158381	-0.479
CDH8	-0.33125
AGPS	0.248166666666667
C4orf18	1.55575
PECI	-1.86358333333333
UNG	0.690125
GSTP1	0.25875
DCUN1D5	-0.5585
DKFZP564J0863	-0.71
SLC9A3R1	-0.141875
BCDO2	-0.822875
CHMP7	0.237875
REM2	0.7825
DNHD1	-0.367375
FKBP4	-0.060875
ZNF350	0.0505
MGC11102	-0.29375
BST1	-1.012
KISS1R	1.645
NCR2	-0.102
DEFB125	0.2465
UBE2W	0.34875
KRT15	-2.068125
C10orf99	4.2095
SCN11A	0.000125000000000049
GFI1	0.33875
RDHE2	3.269
FHL1	-0.867333333333333
OSGEP	0.495166666666667
GATA1	-3.07566666666667
SMC6	-1.387
TTTY14	-0.2725
LPIN3	0.3705
RPL4	-0.5096
RBPMS	-0.088
PRPF3	-0.474666666666667
EMR1	-2.975
SPATA19	0.10575
XCR1	-0.076
IRX3	-1.9133
RBM6	-0.22025
KLF4	1.5046
UNC5CL	2.35825
SEBOX	-0.172
BTK	-1.84225
KRCC1	1.0175
C6orf27	0.426
SYTL5	-0.5245
PRND	0.7845
LOC653319	-0.6335
PIGL	0.443875
HUS1	-0.0106666666666667
SFRS6	0.181916666666667
C17orf77	0.211
UIMC1	-0.166
FXYD2	-1.8079
LOC283152	-0.2895
ZNF667	-2.199
ZCCHC12	-0.06375
TFEC	0.6989
ATP7B	1.126
POLD2	-1.12633333333333
RG9MTD1	0.61
ACOT2	0.0231666666666667
HIST1H4I	-0.95
PPARGC1A	0.7979
ETFA	0.157
POLRMT	-0.77425
ZNF146	-0.1535
MIA2	0.611
KLHL6	-1.34216666666667
HOXB5	2.5125
NENF	0.243666666666667
CUGBP1	0.0915
PRSS22	2.01683333333333
CASC4	0.6514
CUL4B	0.1138
CENPJ	-0.6198
PITX1	0.386166666666667
FLJ31033	0.626833333333333
CELSR3	-0.973666666666667
ZNF568	-2.14325
ITSN1	-0.45575
EHBP1L1	-0.320666666666667
C19orf2	0.298
DCTN1	-0.54075
LIN28B	-3.40816666666667
TNKS2	0.4265
C1QBP	0.468875
CADPS2	1.06775
SRMS	0.183
GJA9	0.185666666666667
MGC24975	0.7205
TRIM45	-1.80466666666667
TSP50	-0.47425
TCP1	-0.49775
TMED7	-0.1109
CMA1	0.5075
CENPL	-0.640833333333333
PTCRA	-0.6295
FST	-4.7085
VWCE	-2.87
PAWR	0.875
ABCC12	-0.0196666666666667
LDLR	0.7373
ASTN2	0.2607
LOC441212	-0.559
GPATCH8	-0.35
TANC2	-2.59533333333333
KIF4A	-0.28425
C18orf18	1.29275
PGM1	-0.06675
KIAA0258	-0.041
CPD	0.3665
SNCAIP	-1.1555
DCT	-4.16
HLA-DOA	1.40577272727273
OR11L1	0.6445
UPK1B	-0.861166666666667
DNAJB4	-1.595125
UGT1A8	2.4365
HIST1H4L	0.2725
PECR	-0.950833333333333
HSPA2	1.36225
WFIKKN1	-2.083
SERP1	-0.106125
SYDE2	0.1245
TACR2	0.874
NUP85	-0.32175
CD177	-0.1525
LGR5	-0.254166666666667
PIGG	-0.277333333333333
PTHR1	-2.40866666666667
RAB5A	-0.112
FLJ13224	-0.0965
USP9Y	-0.400833333333333
C7orf53	-0.297
LRP1B	-1.87725
XAF1	1.7412
ABCG8	-0.5635
ANKDD1A	-0.515666666666667
DAND5	-1.7255
SPAG6	-0.341666666666667
LINCR	1.43575
ZDHHC22	-1.62375
CCDC60	0.702
THOC7	-1.06866666666667
TCTA	0.4931
OR8K3	0.6195
NY-REN-7	-0.41775
B2M	1.71033333333333
C6orf141	-0.678125
LPPR4	1.081
SQLE	0.705125
SEPHS1	-0.2435
BTBD14B	0.715214285714286
PLRG1	-0.015
SPG7	0.0178125
ZNF614	-0.594
PARD6G	-0.2755
INPP5B	-1.0517
GRPEL2	-0.00574999999999999
PPID	0.2365
TRIM56	0.1065
UBE2J1	0.12075
IL20RA	5.44775
LOC387856	-0.01
C1orf107	0.588166666666667
UTS2R	2.06825
C19orf22	0.91425
SAFB2	0.333875
KIAA0652	-0.003875
KLRG1	-0.509
MS4A8B	3.95133333333333
FRAG1	0.406
KIAA1546	-0.663
E2F4	0.1847
CLEC4M	0.450166666666667
BTBD14A	0.17125
KIAA0999	-0.075
GYPA	-3.1724
TAC1	2.0711
TRAIP	-0.599833333333333
KIAA0232	0.2964
ERCC8	-1.38725
GPX4	-0.182375
KIAA0368	-0.488
GPR157	1.41
CTAGE4	0.9925
C9orf30	-1.51983333333333
OR52A1	0.5845
HSP90B3P	0.8345
ALG9	-0.4664
BTBD10	0.32125
SDK2	-0.23
BAIAP3	-1.307
RABGGTB	-0.348125
ANKRD40	-0.234666666666667
KRT74	-0.604
CALCOCO2	-0.193428571428571
SNCA	-4.488
TMSL8	-4.14775
C2orf53	0.535
ESRRB	-0.452
ARHGAP26	1.982
TDRD9	-3.086
HRAS	0.0055
KLRC4	-2.902
JAGN1	0.125666666666667
BSDC1	0.1635
RNF43	1.3751
NDUFAF1	0.04225
PHF12	0.112
OR1L3	-0.012
FOLR2	1.16191666666667
LYZL6	-0.225666666666667
tcag7.1260	0.068
WSB1	-0.883333333333333
PROS1	-0.455
OSTN	0.6665
PSMB8	1.23
SOCS4	-0.554
DDIT4L	-0.52775
MAS1	0.5695
MGC34796	0.7135
CSHL1	-0.27
TBCCD1	-0.186
ZBTB7C	-0.548
AP2S1	-0.141875
P15RS	-1.1025
VAT1	-1.9179
SHANK3	0.7185
TUFM	0.389666666666667
THEG	-0.162
KRT34	-1.381
SGSM3	-0.0255
TOMM22	0.471
SOCS3	1.04483333333333
CPO	-0.494
POP4	0.6735
BHLHB3	-0.63075
MALL	3.5095
OR1B1	0.0845
PARK2	0.171
GPR124	0.334875
LCE1E	0.264
RUVBL2	0.501
CGRRF1	-0.9632
ACPL2	0.45725
WNT10B	-1.489
BAIAP2L2	1.89975
ISCA1	-0.4975
C1orf125	4.268125
RPAP1	-0.62825
RAI16	0.201333333333333
RPL27	-0.2485
NLRP9	-0.4905
EPN1	1.004
LOC388610	-1.693125
SLC35A1	0.145
GAL	-0.66275
SLC14A2	0.518
RDH11	-0.111833333333333
FAM138F	-0.0425
AUH	-0.25125
FLJ40243	0.11825
C14orf129	1.53316666666667
MBD2	-0.818
ABHD14B	0.736125
PIGT	0.091875
ALS2CR4	-1.267625
ALAS1	1.2292
FOXO1	0.342666666666667
CRLF3	-0.6715
C20orf107	-0.642
FARS2	-0.12275
CCDC28A	0.16475
NPHP3	-0.7525
OR13F1	-0.4345
TSEN54	0.076
DEFB106B	0.00839999999999999
OR8B4	0.508
STH	-1.6255
ZC3H14	-0.396875
CBX2	-0.4415
TMEM49	-0.66475
C6orf21	-0.002
FLJ20920	0.44875
CRTAP	-0.0898571428571429
DDX50	-0.5485
