Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A08_443084
Composite Element REF	Signal
AACS	7.49565792607001
FSTL1	5.84768201017594
ELMO2	5.59816304770555
CREB3L1	3.99335375133105
RPS11	9.67874680063177
PNMA1	8.96538895108022
MMP2	4.71649472481038
SAMD4A	3.98043291956665
SMARCD3	5.64450203954357
A4GNT	3.89964466388210
C9orf39	3.40281639008045
PKNOX2	4.18219019052039
RALYL	3.46990682762323
ZHX3	4.51025771684576
ERCC5	6.47491436011552
RXFP3	3.35382242971942
APBB2	3.71750992444885
BBOX1	7.23038082279285
PRO0478	3.01900051959704
GCSH	8.28211871425668
XDH	3.67654778549401
EDN1	3.35497906600374
MTERF	7.4384138258306
PDCL3	7.62942777397522
CLK4	5.32300911668610
KCNG1	3.97347526290712
CXCR4	7.2360761066075
DECR1	7.4557626636537
SALL1	3.07850428820973
PTPRR	3.47038295405379
CADM4	3.79519456713391
IRAK1	8.79847259216366
CFHR5	3.52714801467879
HNRPD	8.47329959860154
TMSB10	11.6290221497549
CXCL3	3.51597155656054
LMAN1	3.87447796717813
SUHW1	3.85752204870164
CHD8	5.89783161079486
SUMO1	7.71408302585886
GP1BA	2.99396844650711
OR7A10	3.94112132710349
DDB1	7.40594477486105
CHRNA10	3.59756271696094
STYK1	3.94627672592068
MYO9B	4.16299575505917
CCNI	10.1397439991364
MMP7	6.10839986616924
EP300	5.87096573988677
CRNKL1	7.49254685274115
C9orf45	3.17694724801636
XAB2	4.14857340076764
RTN1	3.53960943143353
HIC2	4.0211684103087
TBX10	3.72974229390643
CENPQ	3.99944077603159
UTY	3.22430733148793
OR2W1	3.01321412341115
ATP5G2	10.6229045175546
ZEB1	3.08357070698344
ZG16	3.61374293555567
ERG	3.5851717311069
PARN	6.53192646633322
SOD2	5.22424490963507
JOSD3	7.63417536264208
ADAM5P	3.33034577414459
CHD9	5.13111827005495
hCG_40738	3.79980007515534
STK16	4.34126281293847
PDE1C	3.78264234639965
SEMA4D	6.16633136616212
AGPAT1	5.91393009375426
TOB2	6.84691010200804
BANK1	5.03368899085276
MAP3K3	5.01220645089965
MAX	5.19760666306539
GRM2	3.89014569001904
OSBPL8	7.02891642093107
PROSC	5.99206054246933
NR4A2	5.15255780282151
RICS	5.58093903681961
PIR	7.63194647220731
PPCS	8.62695144540372
IPO9	6.2721910799361
LONP1	7.42030438729928
EVC	4.76597600658992
CXCL13	4.20023201522436
SCYL3	5.37124795094643
KIAA1199	4.35005593281058
SORL1	6.99032715808862
NAT10	7.05200661092941
CHD1	6.1267740961396
SYN3	3.49466261920941
DMC1	3.65962054812662
SLC22A2	3.39877995714549
SERPINF1	4.33099618023317
C20orf27	5.58592299066469
OR7A17	3.077617491043
RPS6KA5	4.41977968570445
LHB	3.36029990034310
TAOK3	4.45792614156767
STK25	5.68104866787273
SLC12A4	3.75279273668790
BRCA1	3.94781490977302
GBL	4.82296977097846
C14orf108	7.77889717297247
CDC25B	7.43171182817417
BMP3	3.29455484626365
MAP1LC3C	3.42368312242196
TMEM180	3.47295962707962
CRYGC	5.01538850799121
SLK	5.34247025123616
POU3F1	3.35145029612685
C20orf32	4.00794244171638
USP52	6.22450517913649
HIGD1B	3.95117014982128
BAZ1B	6.52675878436479
USP6NL	5.7110611195758
SLCO2B1	3.71639759314597
ABCD4	4.67457407720268
DIMT1L	6.32553137461408
SLC25A46	7.31198010788783
LARP7	7.74822571629954
TEK	3.61951666777253
CD160	3.58191829398151
TERF2IP	6.80485803140787
PHF20	6.0689627392034
COL1A1	4.97270218860329
KIAA0090	6.12927468313301
GTPBP1	4.35667158755034
GRK5	3.82265095839545
AP1S2	4.70089770138648
RAB33B	3.91853017219474
CA11	4.92542839557772
ALDOC	5.71117447395321
NUDT1	5.69543295998211
ZNF212	5.76731431625892
ACBD3	6.96253959396272
ZNF83	6.01682103692326
PRDM2	4.66557642207582
GDPD5	5.04937729454336
PDCD4	5.31213484666146
CEP350	6.34171629750701
FOXP3	3.40490546131512
SMYD3	5.86782912061144
CST7	3.69597120464551
SELL	3.57803840024652
CIAO1	6.66461340238312
LGI2	4.00358773688299
WDR45	7.37332013898957
ANKRD6	6.74324242605244
LTBP4	4.02282901264757
PSCD3	3.37142185489309
PYY	3.19428810266301
KCNC1	3.06105569256877
SIRT6	3.99899647625806
CCL19	3.77070209835184
ARHGEF9	4.29545801101369
ABR	4.87009008565967
C10orf22	6.76708281148719
STK17A	5.28218872313265
FOXE1	3.30415103372605
GML	3.07968382999975
CNGA3	2.91398924043397
CD38	3.60696280616700
ZDHHC6	6.17821804835825
NEFH	5.05070442386593
PGBD5	3.47938667550089
CTDSP2	7.4086383866154
RMND5B	5.05876682907289
ZNF257	3.68372883218669
DUSP4	3.33413850216266
FLJ22167	5.77635722473641
EXOSC7	7.08947214113818
ROR2	3.57651029600864
FOXM1	5.73122993721432
ZBTB48	4.4096704840495
BUD31	8.59618509171851
MAOA	5.12303567937244
CCDC41	4.57952460736103
TNNT3	3.94587734892048
FBXO11	6.001311974861
GYPC	4.39009769672251
PLIN	3.76579476069872
RFXAP	3.54019687250509
C6orf15	3.83614881157787
RNF4	8.63096484169959
F8A1	7.99139494770809
PPP1R3D	5.08002050217978
GRB2	7.01573405739517
TPM3	3.23808630621162
SYT13	3.82923622111289
EPB42	3.87008387544955
RP5-1077B9.4	5.47808241611646
EIF1	10.0358862726726
CETN3	7.63094029793013
FPGT	4.97900042714396
PRY	3.6777383492003
NTHL1	4.99920573750413
POLR2B	8.59195656472043
RPS28	11.6000175740469
GDF10	4.77767390511457
COQ9	8.16366917544794
P2RX3	2.85214542558037
GCC2	7.42973466006852
RARRES3	7.80253490292154
PLXNA1	5.96306936997596
WBP4	4.24788276105339
KIAA0100	6.40408727391653
PMF1	6.60222923680005
HS2ST1	5.43923066573624
CRELD2	6.98281580029853
C8G	3.45064619056205
CD82	5.65499202880328
PMM1	4.80684772978353
CBLL1	5.55593176956835
LIM2	3.55685039912585
VAX2	4.79212223115830
SETDB1	4.85260856158913
LRAP	5.38082367712471
GCLM	7.0687864767626
CPEB3	3.42507731389843
PPM1A	5.94490102540329
INTS1	3.85254874900947
MMP16	3.2026599783605
CAMTA1	4.47280881960029
