Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_B05_472052
Composite Element REF	Signal
AACS	6.88684258912277
FSTL1	8.46317285832588
ELMO2	6.17114594366411
CREB3L1	3.82737662710555
RPS11	9.5029072952452
PNMA1	7.78332000898454
MMP2	5.33009693952424
SAMD4A	3.76061549559733
SMARCD3	6.44800107907987
A4GNT	3.6433354699322
C9orf39	3.15064335997658
PKNOX2	3.84594107148889
RALYL	3.4493355771757
ZHX3	4.43438694662008
ERCC5	5.60269818549278
RXFP3	3.24705089599517
APBB2	3.54445994319198
BBOX1	3.28191517420861
PRO0478	2.99789572023954
GCSH	8.37964924995011
XDH	3.59514113243976
EDN1	4.56855307926414
MTERF	5.86195479260406
PDCL3	7.44984447829113
CLK4	5.53453656881503
KCNG1	3.55040626541319
CXCR4	6.98179493562837
DECR1	8.0146595373681
SALL1	3.31752605962783
PTPRR	3.30871009168059
CADM4	3.43621451055024
IRAK1	8.34821985702055
CFHR5	3.24718261819209
HNRPD	7.53833613706499
TMSB10	11.5705792167228
CXCL3	4.60669278933047
LMAN1	4.74859999585562
SUHW1	3.54588641822259
CHD8	5.30765553832738
SUMO1	8.03276058762234
GP1BA	3.52990078000646
OR7A10	3.79928409220211
DDB1	6.57913486647966
CHRNA10	3.58525071485312
STYK1	3.27449275898808
MYO9B	4.16775761579373
CCNI	10.2740530556627
MMP7	9.96728132522102
EP300	5.65390889897916
CRNKL1	7.13582997527014
C9orf45	3.41530013587498
XAB2	4.08376643148562
RTN1	3.38109138351802
HIC2	3.65678565864603
TBX10	3.44948835452026
CENPQ	3.88010101799602
UTY	3.19517332806596
OR2W1	2.88597652151054
ATP5G2	10.8298450394272
ZEB1	3.39667571998474
ZG16	3.37295736229781
ERG	4.60953655156676
PARN	6.8769132338361
SOD2	5.2972126799732
JOSD3	8.1416157351907
ADAM5P	3.18292289039608
CHD9	6.39714189578823
hCG_40738	3.79220655047641
STK16	4.94914347634216
PDE1C	3.38010972665282
SEMA4D	5.11275017187413
AGPAT1	6.20945515052887
TOB2	6.0433450816573
BANK1	3.15745873481370
MAP3K3	4.90940906557479
MAX	5.36198525807245
GRM2	3.84875272516014
OSBPL8	7.9672917049112
PROSC	5.83982061881472
NR4A2	4.20714081005453
RICS	5.18886830120558
PIR	4.17952736613158
PPCS	8.62881851631508
IPO9	5.8836602682867
LONP1	5.61626277650331
EVC	3.68809446984249
CXCL13	3.9891345124192
SCYL3	4.81568701001833
KIAA1199	5.67487962407568
SORL1	9.20195801952383
NAT10	5.66499243965508
CHD1	5.19355318294291
SYN3	3.81168895283725
DMC1	3.7414314964606
SLC22A2	3.29140666492686
SERPINF1	5.53352424851318
C20orf27	5.57778192733381
OR7A17	3.10396743381288
RPS6KA5	4.36817991458102
LHB	3.35331228961627
TAOK3	5.12368002193002
STK25	5.80235908005059
SLC12A4	3.66071071415644
BRCA1	4.00335834895666
GBL	4.48696903093198
C14orf108	8.10865876648392
CDC25B	5.4869963957836
BMP3	3.28122881052942
MAP1LC3C	3.44640675892393
TMEM180	3.63351511660182
CRYGC	3.82736664417193
SLK	6.3412295526979
POU3F1	3.31854198224641
C20orf32	3.93362987943477
USP52	5.40798745798201
HIGD1B	4.03514828672468
BAZ1B	6.61101927977667
USP6NL	6.03077757973817
SLCO2B1	3.91914793285696
ABCD4	4.27034437982487
DIMT1L	6.37127334648424
SLC25A46	5.48315816559906
LARP7	6.83626826056507
TEK	3.35083089530937
CD160	3.42158590305388
TERF2IP	8.37332319272533
PHF20	5.96434739037895
COL1A1	6.49592442045606
KIAA0090	4.98608385119386
GTPBP1	4.36907677541154
GRK5	3.77925436121768
AP1S2	4.58810475359271
RAB33B	4.04648774426813
CA11	5.01740856949226
ALDOC	4.31409943045345
NUDT1	5.07766247128188
ZNF212	5.12575272264659
ACBD3	7.32447504100774
ZNF83	6.2334508701977
PRDM2	4.51941297865524
GDPD5	4.54050800343992
PDCD4	6.10704079492284
CEP350	5.66675223679
FOXP3	3.23669058283231
SMYD3	6.76960936638563
CST7	4.16556427555876
SELL	4.54807883290031
CIAO1	5.91906425819587
LGI2	3.81406880926145
WDR45	6.64248418921422
ANKRD6	6.3002578682921
LTBP4	3.9998413372803
PSCD3	3.33739446505382
PYY	3.15319296335425
KCNC1	3.05023892969613
SIRT6	3.99673008860832
CCL19	3.52932307285466
ARHGEF9	4.26318178743729
ABR	4.43115988196545
C10orf22	7.30854956928366
STK17A	4.71475813798576
FOXE1	3.46216174430443
GML	3.29840957085467
CNGA3	2.95200685299953
CD38	3.41588331993819
ZDHHC6	6.25783725665139
NEFH	3.50142575702567
PGBD5	3.60132613787819
CTDSP2	7.21145983461666
RMND5B	5.789291448195
ZNF257	3.83040446894414
DUSP4	4.36731809401959
FLJ22167	6.44729628367587
EXOSC7	6.77501652746155
ROR2	3.54216907072836
FOXM1	4.65498329097122
ZBTB48	4.36316772905271
BUD31	7.57776660203697
MAOA	4.76973354548235
CCDC41	4.5262101505965
TNNT3	3.90719251968618
FBXO11	5.45420728156115
GYPC	4.77514908555838
PLIN	3.3106384352845
RFXAP	3.93357729529157
C6orf15	4.57008800877623
RNF4	7.0201215063564
F8A1	7.49141715764224
PPP1R3D	5.04630005363503
GRB2	7.16370863412238
TPM3	3.12950769723884
SYT13	3.46255781302663
EPB42	3.40674945576301
RP5-1077B9.4	4.56736787727848
