Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D11_491238
Composite Element REF	Signal
AACS	6.55033498088764
FSTL1	9.16615986391761
ELMO2	5.81758358142212
CREB3L1	4.86576752983144
RPS11	10.4529385991217
PNMA1	7.36936091588878
MMP2	8.58057083891837
SAMD4A	4.12143138875985
SMARCD3	8.32435334958836
A4GNT	3.64654717450355
C9orf39	3.42444875531026
PKNOX2	3.90801341165363
RALYL	3.55614232832768
ZHX3	4.36327041381998
ERCC5	6.15262139334709
RXFP3	3.07936417094438
APBB2	4.51459102451847
BBOX1	7.98016119893167
PRO0478	2.88359343303202
GCSH	8.99997188056255
XDH	3.93217329246383
EDN1	4.83684773675578
MTERF	6.00775086594503
PDCL3	7.22816913780229
CLK4	5.87791681193411
KCNG1	4.11084934326861
CXCR4	7.22124046399932
DECR1	8.61972967692564
SALL1	3.02823152761120
PTPRR	3.64153550282893
CADM4	3.41708363005543
IRAK1	9.34468817399744
CFHR5	3.1539818065389
HNRPD	7.1261431107217
TMSB10	12.0481808520845
CXCL3	4.15969767917292
LMAN1	3.80255906086768
SUHW1	3.49856243600576
CHD8	4.80041610796637
SUMO1	7.93493612411456
GP1BA	3.26516232494595
OR7A10	3.62153289376861
DDB1	7.61549853046684
CHRNA10	3.63599294123888
STYK1	3.28418205498678
MYO9B	4.29506432144392
CCNI	10.1561633346364
MMP7	7.14851304507
EP300	6.73530686580779
CRNKL1	6.47287201939467
C9orf45	3.05686804560522
XAB2	4.57439118847326
RTN1	3.78563585061695
HIC2	3.94235512035262
TBX10	3.55551149599320
CENPQ	5.42535447938832
UTY	3.1085327518016
OR2W1	2.91497146919609
ATP5G2	10.5865838443407
ZEB1	4.02857199159382
ZG16	3.51337713979747
ERG	4.08799447317531
PARN	7.26495065321633
SOD2	4.78972834806242
JOSD3	7.56495269659955
ADAM5P	3.36572771973393
CHD9	6.17367500163233
hCG_40738	3.78948747748093
STK16	5.05196380979922
PDE1C	3.5412614876579
SEMA4D	4.67037401296561
AGPAT1	6.9672581905581
TOB2	6.79001672300919
BANK1	3.33229570360584
MAP3K3	5.43283063111154
MAX	4.99914766022602
