Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D09_491234
Composite Element REF	Signal
AACS	7.02817604072530
FSTL1	7.95711683545482
ELMO2	6.30567672731479
CREB3L1	3.80089753072238
RPS11	10.3177867304926
PNMA1	8.26545824119884
MMP2	7.69108545790375
SAMD4A	4.02860234109442
SMARCD3	7.57155453481582
A4GNT	3.63384311610151
C9orf39	3.42072714611794
PKNOX2	3.72190919355044
RALYL	3.53070601487029
ZHX3	4.57592615275794
ERCC5	5.6796158268624
RXFP3	3.02286862424132
APBB2	5.83078065350167
BBOX1	8.97156065618791
PRO0478	2.86556885417967
GCSH	8.94011148193101
XDH	4.12445361061213
EDN1	4.01869938278209
MTERF	7.14843453233768
PDCL3	8.12827474808835
CLK4	5.65112933968398
KCNG1	4.34679572544997
CXCR4	6.74854369632831
DECR1	8.53560809640326
SALL1	3.54620963352201
PTPRR	3.14560569097766
CADM4	3.18685930330400
IRAK1	9.0894574317555
CFHR5	2.95308454132716
HNRPD	8.4432713879868
TMSB10	12.2360396006156
CXCL3	3.93967766769531
LMAN1	4.25500608748596
SUHW1	3.29495708583976
CHD8	6.00434204070507
SUMO1	7.51320386807754
GP1BA	3.21138274287687
OR7A10	3.7363518639409
DDB1	7.83042768111363
CHRNA10	3.56078796654964
STYK1	3.24096772270414
MYO9B	5.16724355642695
CCNI	10.4705310364437
MMP7	10.7863911844616
EP300	6.8817617626786
CRNKL1	7.22942658299197
C9orf45	3.05685481871866
XAB2	4.72415315675577
RTN1	4.23728335031165
HIC2	3.84924368139925
TBX10	3.42019617196877
CENPQ	4.61106477062393
UTY	3.06759503393356
OR2W1	2.79017158014129
ATP5G2	10.6565041870824
ZEB1	3.40680199550877
ZG16	3.38680476955247
ERG	3.89169536732794
PARN	7.13539851591054
SOD2	5.9534378783932
JOSD3	8.3077044493108
ADAM5P	3.28251665887741
CHD9	5.7862364196173
hCG_40738	3.67711753725894
STK16	4.32958887721669
PDE1C	3.65038071727174
SEMA4D	5.85790470397868
AGPAT1	6.74544783482246
TOB2	6.91798851570322
BANK1	3.53829764967438
MAP3K3	5.96817018935898
MAX	5.77582284311227
GRM2	3.6614866167616
OSBPL8	6.86988654621804
PROSC	6.3992408893749
NR4A2	3.9720417160618
RICS	4.59734413590475
PIR	5.66764876237978
PPCS	9.1042540097846
IPO9	6.41781093270351
LONP1	8.08758067490384
EVC	4.3382487672131
CXCL13	5.74511644827055
SCYL3	5.40880602801209
KIAA1199	5.60861387971228
SORL1	9.04174319420629
NAT10	7.17001840410732
CHD1	6.98144333747731
SYN3	3.90449460861586
DMC1	3.99242797557413
SLC22A2	4.24877682149101
SERPINF1	7.66324634890614
C20orf27	6.47319677310115
OR7A17	3.05057407406796
RPS6KA5	4.42821370494394
LHB	3.07991197507032
TAOK3	5.22514990939582
STK25	5.47684333936713
SLC12A4	3.41885784665388
BRCA1	4.32383748925434
GBL	6.4437131402145
C14orf108	9.31514624463425
CDC25B	7.47290857487464
BMP3	3.08821176278995
MAP1LC3C	3.55543976112791
TMEM180	3.7455949337447
CRYGC	3.57608236272601
SLK	5.93546165422609
POU3F1	3.32442518447783
C20orf32	3.70202310019094
USP52	6.44980343031626
HIGD1B	3.80981551581141
BAZ1B	6.21554262727051
USP6NL	5.33430152269044
SLCO2B1	4.98696823801696
ABCD4	4.52441246609402
DIMT1L	6.68240592976847
SLC25A46	8.26044580978793
LARP7	7.95319033834854
TEK	3.55140904265341
CD160	3.67096737966222
TERF2IP	7.56756377656092
PHF20	6.33877595583675
COL1A1	7.77791013607795
