Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_B07_472048
Composite Element REF	Signal
AACS	6.84828223577372
FSTL1	6.37320608396837
ELMO2	5.97714669904152
CREB3L1	3.79526334621033
RPS11	9.46292931727003
PNMA1	7.31669819673066
MMP2	5.57409120815462
SAMD4A	3.55937288908356
SMARCD3	5.45063297706093
A4GNT	3.70167809658932
C9orf39	3.56751700918499
PKNOX2	3.86721896658243
RALYL	3.51333569143267
ZHX3	5.14300727632521
ERCC5	5.8059695510792
RXFP3	3.13381105667734
APBB2	4.58618924720885
BBOX1	5.58303810782786
PRO0478	3.0985050606492
GCSH	8.88261478563104
XDH	3.83684841076573
EDN1	4.35765294231892
MTERF	6.79275247080675
PDCL3	7.62753043350958
CLK4	5.12730435158313
KCNG1	4.67371009389557
CXCR4	5.6339461894257
DECR1	8.4580597332583
SALL1	3.20075765011471
PTPRR	3.33700483983708
CADM4	3.43781847717790
IRAK1	9.33926488844606
CFHR5	3.24346224073386
HNRPD	6.98844450858229
TMSB10	11.5752869462865
CXCL3	4.32268434513384
LMAN1	3.72242962622911
SUHW1	3.54826184445752
CHD8	6.98246880302254
SUMO1	7.9478927432531
GP1BA	3.29167167616506
OR7A10	3.95022339393546
DDB1	7.99907495278238
CHRNA10	4.00623395374975
STYK1	3.918297863596
MYO9B	4.40615698635387
CCNI	9.27076711067208
MMP7	9.35127059750185
EP300	6.28488889604216
CRNKL1	5.94512864321849
C9orf45	3.1659159860315
XAB2	4.48216675331249
RTN1	3.92709822259444
HIC2	4.19776502076653
TBX10	3.66899445404248
CENPQ	4.14077221012383
UTY	3.25061662470460
OR2W1	2.98394403058026
ATP5G2	10.4422757165355
ZEB1	3.28982246784299
ZG16	3.53540353740602
ERG	3.95908156867416
PARN	7.64765637219685
SOD2	6.12624128213628
JOSD3	6.385999939074
ADAM5P	3.31692519190698
CHD9	5.72018193458813
hCG_40738	4.01881176475129
STK16	3.80209170538823
PDE1C	3.44209318449214
SEMA4D	6.56392264589286
AGPAT1	6.9667094472396
TOB2	6.7198715287341
BANK1	3.28629533490228
MAP3K3	5.56464330510338
MAX	5.43710373434652
GRM2	3.88196279382047
OSBPL8	8.12214471485376
PROSC	6.32928926511069
NR4A2	3.86038901877464
RICS	5.06555961259516
PIR	5.94007894366496
PPCS	8.60018084073031
IPO9	7.5260386522836
LONP1	6.819226698363
EVC	4.402780486372
CXCL13	4.13544439199454
SCYL3	5.5840033213293
KIAA1199	4.91327511951582
SORL1	7.0576027739999
NAT10	5.99303563422138
CHD1	5.74560724259791
SYN3	3.69637520747245
DMC1	4.29119824702849
SLC22A2	3.49332873220697
SERPINF1	5.91918385690173
C20orf27	5.34270923079441
OR7A17	2.99868347423436
RPS6KA5	5.00700484646639
LHB	3.79913663459929
TAOK3	5.8074866056203
STK25	5.88880371586033
SLC12A4	3.70733648614931
BRCA1	4.37568352212611
GBL	5.40504366409401
C14orf108	8.35463653034227
CDC25B	6.16731109746563
BMP3	3.14743739035785
MAP1LC3C	3.34652820605394
TMEM180	3.45723908207210
CRYGC	3.75076626761638
SLK	6.62007604346914
POU3F1	3.65692310154679
C20orf32	4.04229143928268
USP52	5.04551588556292
HIGD1B	4.11090142142188
BAZ1B	8.7126032988635
USP6NL	4.70141000894502
SLCO2B1	4.05705122551465
ABCD4	4.26521183934030
DIMT1L	5.96823269174027
SLC25A46	6.51170380044369
LARP7	5.77381782624995
TEK	3.70556362891283
CD160	3.60753734131131
TERF2IP	7.96542576773686
PHF20	6.17889640446582
COL1A1	6.03683630570594
KIAA0090	4.77390724540542
GTPBP1	4.49198627354743
GRK5	3.70294975009869
AP1S2	4.88039122347228
RAB33B	5.16543148025855
CA11	4.04760738518845
ALDOC	4.27290566937586
NUDT1	4.74883765800931
ZNF212	5.55893155270836
ACBD3	6.82987812948425
ZNF83	5.77053727347697
PRDM2	4.76166565898054
GDPD5	5.21926130038752
PDCD4	6.31702694153319
CEP350	7.14053523572923
FOXP3	3.46489144832555
SMYD3	5.41191332181047
CST7	3.74988425657963
SELL	3.76009332588735
CIAO1	6.73170818215393
LGI2	3.95718221024135
WDR45	7.32566710147126
ANKRD6	7.4679275123164
LTBP4	3.86266308342168
PSCD3	3.19439181527506
PYY	3.25496299536883
KCNC1	3.39243521789587
SIRT6	3.54539768849159
CCL19	3.85571673407018
ARHGEF9	3.91602512730411
ABR	4.34356188341626
C10orf22	6.22717787798122
STK17A	4.40875485669922
FOXE1	3.61552322609529
GML	3.3681965701298
CNGA3	3.09726300257333
CD38	3.08850698476735
ZDHHC6	7.32387087807572
NEFH	3.61885628505239
PGBD5	4.50172119039528
CTDSP2	7.09498856308844
RMND5B	6.12406229160072
ZNF257	3.36846956047983
DUSP4	3.20535566616846
FLJ22167	5.63158740303213
EXOSC7	5.71764316671245
ROR2	3.40161013473321
FOXM1	6.70628648330878
ZBTB48	4.52488468869983
BUD31	8.78742136352215
MAOA	5.60333713756266
CCDC41	5.02022546779687
TNNT3	3.80923685496297
FBXO11	5.37320701344037
GYPC	6.70804308235633
PLIN	3.61095149124891
RFXAP	3.68759118611219
C6orf15	3.92702631442772
RNF4	7.84570242042717
F8A1	9.08015928132554
PPP1R3D	5.30635489847311
GRB2	7.93529492280718
TPM3	3.36831741703264
SYT13	3.62279026536689
EPB42	3.54338564984015
RP5-1077B9.4	4.80608031169139
EIF1	9.8293399832314
CETN3	5.09766583645404
FPGT	4.97785050914477
PRY	3.47046599625999
NTHL1	4.56650365327264
POLR2B	7.47491844363373
RPS28	11.4569201131522
GDF10	3.00325470924101
COQ9	7.43091699954496
P2RX3	2.89704498464208
GCC2	6.17156409653227
RARRES3	8.61469681549311
PLXNA1	6.28577710996755
WBP4	4.83283613733044
KIAA0100	5.98906545756767
PMF1	7.42559125744597
HS2ST1	5.87166050449564
CRELD2	5.61857683580491
C8G	3.1114967624849
CD82	5.92872257277646
PMM1	5.20770786685745
CBLL1	5.22590391204304
LIM2	3.48062480327739
VAX2	3.83592761217885
SETDB1	5.56849811002534
LRAP	3.22623239626279
