Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A11_443078
Composite Element REF	Signal
AACS	6.16899293663913
FSTL1	7.67127628319061
ELMO2	5.34430931932518
CREB3L1	4.18635382026704
RPS11	10.0277428660861
PNMA1	6.87773889624784
MMP2	8.42037596946466
SAMD4A	3.73971067892684
SMARCD3	7.24167088743625
A4GNT	3.82183245716722
C9orf39	3.26479721115464
PKNOX2	4.21705142888621
RALYL	3.21915936033699
ZHX3	4.20762536180907
ERCC5	6.52253950841827
RXFP3	2.98427728554631
APBB2	3.91276492104213
BBOX1	7.824682413225
PRO0478	2.86372245806525
GCSH	7.93640322606771
XDH	3.76947599561403
EDN1	5.19523146255069
MTERF	6.60179696671857
PDCL3	7.58461918250355
CLK4	5.42223059805775
KCNG1	3.6850907429936
CXCR4	8.83514292862102
DECR1	7.82606730415137
SALL1	2.97632244322378
PTPRR	7.68075740694167
CADM4	3.39588618223195
IRAK1	8.96242989084016
CFHR5	3.16000910874866
HNRPD	8.10010936238822
TMSB10	11.7608566674920
CXCL3	4.37627525408437
LMAN1	4.1864408757099
SUHW1	3.40488415820541
CHD8	5.34639185757145
SUMO1	8.30895931035538
GP1BA	3.28444994981158
OR7A10	3.82934482270029
DDB1	7.48369143709682
CHRNA10	3.67263920509282
STYK1	3.42699652724573
MYO9B	4.07772407237704
CCNI	10.2550467283702
MMP7	10.5879586501818
EP300	6.22515358769642
CRNKL1	6.19127342339588
C9orf45	3.08887249101537
XAB2	3.96715104496209
RTN1	3.88316466296838
HIC2	4.04829079459976
TBX10	3.65410989613934
CENPQ	4.22359992201074
UTY	3.09440763308121
OR2W1	2.94898749465786
ATP5G2	10.5897602827332
ZEB1	3.48318560282955
ZG16	3.60520662312243
ERG	4.1811264696068
PARN	6.7019367248678
SOD2	6.36596047583392
JOSD3	8.79491366868166
ADAM5P	3.21706015852644
CHD9	6.7881821371804
hCG_40738	3.64804252425677
STK16	5.03924204508954
PDE1C	3.63234417435324
SEMA4D	5.51350171870214
AGPAT1	5.78188724732929
TOB2	6.13451217923941
BANK1	5.6607047306676
MAP3K3	5.06710754324157
MAX	4.90882843235358
GRM2	3.54619408692196
OSBPL8	7.09213174954787
PROSC	5.57726630878364
NR4A2	5.28453368321844
RICS	4.9208065087473
PIR	7.57426713794603
PPCS	8.97122111691476
IPO9	6.03911868983307
LONP1	7.2373236181442
EVC	4.54142563211985
CXCL13	4.72997893509646
SCYL3	5.23779741024607
KIAA1199	6.77925355954735
SORL1	8.02558314989728
NAT10	6.83723475921412
CHD1	6.37567808740447
SYN3	3.57285852043651
DMC1	3.80373599952413
SLC22A2	3.44847944766606
SERPINF1	7.340950407968
C20orf27	6.55266522824295
OR7A17	3.20141008690962
RPS6KA5	4.46547311567898
LHB	3.43593942381638
TAOK3	4.48073018187383
STK25	6.40566697074813
SLC12A4	3.59726728935056
BRCA1	3.43033284278619
GBL	5.74590816138982
C14orf108	7.61890399322174
CDC25B	7.68420531542288
BMP3	3.33379220999755
MAP1LC3C	3.20176034512589
TMEM180	3.39431222110984
CRYGC	3.74418117889720
SLK	5.66917270325463
POU3F1	3.18276683453835
C20orf32	3.92523740661989
USP52	5.45908511016063
HIGD1B	3.83322916029307
BAZ1B	6.22107654724225
USP6NL	5.83658581191102
SLCO2B1	4.37346498516344
ABCD4	4.31228111980298
DIMT1L	6.00162414951166
SLC25A46	7.04321923932583
LARP7	6.83261143572069
TEK	3.57684263530823
CD160	3.56939243358869
TERF2IP	7.77838629222295
PHF20	6.16382377972616
COL1A1	8.0571669409068
KIAA0090	4.87053950216628
GTPBP1	4.54877464712772
GRK5	3.96183621959398
AP1S2	5.77373363239552
RAB33B	4.37856342878979
CA11	4.48722572474239
ALDOC	5.59285129238281
NUDT1	5.08849436829666
ZNF212	4.84361220251673
ACBD3	6.9324751985592
ZNF83	7.25365116857685
PRDM2	4.77601940527925
GDPD5	4.53276255062771
PDCD4	5.06024404253146
CEP350	5.79983722038771
FOXP3	3.27817037733082
SMYD3	6.88719076754333
CST7	4.59848373535027
SELL	4.39562826703783
CIAO1	6.25550321113712
LGI2	4.12372279949842
WDR45	6.63835393312047
ANKRD6	6.95419959469699
LTBP4	3.43913362835360
PSCD3	3.23215329677733
PYY	3.12945424253843
KCNC1	3.20352574536275
SIRT6	4.1017453792242
CCL19	3.75257665158558
ARHGEF9	4.15497011198352
ABR	4.62153199948614
C10orf22	7.04980801029872
STK17A	5.43572315661489
FOXE1	3.45865292123687
GML	3.16393692052098
CNGA3	3.16038171986046
CD38	4.00669777134862
ZDHHC6	7.13960459041468
NEFH	6.58678711423832
PGBD5	3.99500196376963
CTDSP2	6.97117365750218
RMND5B	4.95381723301754
ZNF257	3.11875829926628
DUSP4	5.91814934120031
FLJ22167	6.84127582440497
EXOSC7	6.46663288483244
ROR2	3.79825968194139
FOXM1	5.17223169862408
ZBTB48	4.77871223017057
BUD31	8.00091482957193
MAOA	3.76719629489752
CCDC41	4.64412418264531
TNNT3	3.92298583464239
FBXO11	5.89109272220435
GYPC	6.97010597840392
PLIN	3.35726526007136
RFXAP	3.46135191785583
C6orf15	5.0481652166137
RNF4	8.70210767321995
F8A1	7.30501201895979
PPP1R3D	4.40173212050313
GRB2	7.01075464968971
TPM3	3.07820847820362
SYT13	3.759738370025
EPB42	3.43144213038053
RP5-1077B9.4	5.39919824563098
EIF1	10.4109826898948
CETN3	7.10442855161808
FPGT	5.3347822918593
PRY	3.54875254428237
NTHL1	6.09134514920181
POLR2B	8.72111546420577
RPS28	12.2019053887443
GDF10	3.09490611651659
COQ9	7.06678409993842
P2RX3	2.79054060421675
GCC2	6.57401138001147
RARRES3	8.56173322204498
PLXNA1	5.93554366390577
WBP4	4.86379352791779
KIAA0100	5.97071802034053
PMF1	7.0447446295343
HS2ST1	5.8914703783586
CRELD2	7.62261490472183
C8G	3.04354867597619
CD82	6.00355719968247
PMM1	5.48342218115526
CBLL1	4.37163774316469
LIM2	3.22642189498945
VAX2	3.28247381510268
SETDB1	4.98360156634113
LRAP	3.06750165200743
GCLM	6.75297705201353
CPEB3	3.36165616080228
PPM1A	5.39747487956582
INTS1	3.84424065883435
MMP16	3.24827447839722
CAMTA1	4.79199897108527
SAMSN1	6.07362888765719
DRD3	2.83710653342296
GMPPA	5.50397273161185
C11orf73	6.64908641744095
AIPL1	3.78618276658847
PTP4A2	9.04574299995871
IL24	3.32768585127608
BDKRB1	3.62214747006767
HPCA	3.57398862067234
MLF1	7.09272214423084
SEC14L1	5.28645962158211
CHFR	4.82541156595194
EMILIN1	3.58855315404454
THADA	5.76404474907887
TAF12	5.41901388566069
NDUFS4	8.84210975447179
ID1	6.11376775584728
PIK3CB	3.42541108427575
COL18A1	6.99508393670158
PDZD3	3.1775384607244
TBC1D17	4.0326627377121
COX8A	9.82595399277903
CDCA4	6.5614597327432
C2orf44	3.96237508028224
C9orf16	8.3692670518648
ERBB2IP	7.26957430646224
EMX2	7.36786622137432
FUS	6.35962839568198
NIPSNAP3B	3.39973934950399
TF	3.13717127755315
CXorf56	5.58462354042772
CLCN4	3.53703789403340
PWP2	5.91191071569329
MMP15	3.77281391960642
MTMR14	6.34646111555388
NPR1	7.03059962013174
DNAL4	5.75855607754115
ELAC2	4.54849610300829
ASS1	11.3146400796732
IPP	5.4704102629301
TMEM59	9.8540437006599
POLR2J	8.628470348883
SEC23IP	5.07085042976994
RGS4	5.43720802148802
UQCRC1	8.61885908487117
SNX6	7.73362588730035
DDX18	6.9137934446987
POLG	4.53775137329999
ADAM23	4.25539097702929
ZNHIT2	5.07726395621114
TFR2	3.51598141876702
NCDN	4.30498153189768
RAG1	3.37243375135475
POMT1	4.50075667809398
CYP1A1	3.41030771293543
SNAPC1	5.05897667861458
GNA11	5.92612331315858
CCDC52	3.01583289210047
CAPN1	6.93532666981062
DDHD2	5.99099982180223
UPF3A	5.69872204457089
LAGE3	6.38517253645495
GNRHR	3.07022906391814
UNC13B	5.85672461904909
TTLL4	4.50141409394086
PPBP	2.99741312686823
HTR3A	5.05039106632494
SDC2	5.05731834874514
ANKRD49	7.04534940116563
BTF3	10.2337072904037
COX7A2	10.9310843737260
SARS	8.35872403062907
C13orf18	4.26175204938693
CACNB1	3.84222986210076
QKI	5.65039222231091
SETMAR	7.31454051253617
LAMB4	3.42467966005828
MAN2B1	6.69242958966825
EML3	5.55383315962344
ACADL	3.17791569419601
OFD1	8.39890400856982
CGA	3.69492798060779
EIF3EIP	11.1163296819586
PEX16	5.52998761265898
GNG12	8.01899576708026
HABP4	4.68805710860684
CNTN2	3.60754151767942
ASNSD1	7.38752396092738
FUT4	4.05536982590302
DBH	3.53424540500929
CD53	8.04374356558756
HIST1H2BJ	3.55241886327053
TFAP2B	3.27675599145949
ACF	3.66985207641053
TMEM11	5.95372515633652
CDH8	3.40410261026427
C3orf32	5.19808438256782
AGPS	4.48409848519781
C4orf18	3.20515666656773
PCCB	6.7765894548341
IPO13	4.52235859271393
PECI	6.51728155713014
UNG	7.04593242900645
C6orf105	3.42627870522735
GSTP1	9.26862166531647
SUV420H1	7.28477186618345
ARHGAP15	4.33235853866648
LTBR	6.39671491119763
TDRKH	3.18667798446883
PSG4	3.37236559622772
SLC9A3R1	6.67223087381484
NBPF3	8.75101787978971
SLC9A3	3.61860707941766
OSBP	5.89173466958819
PRR5	5.03944220295391
CHMP7	5.33471028897615
ADRA1A	3.16107435762112
ASAH1	6.96454675575705
FKBP4	7.40549441967506
ZNF350	4.42640796514651
DOM3Z	4.97886971750011
GIPR	3.7290493611782
AHI1	4.37286731793434
BST1	4.89385558836407
NCR2	3.51919627007073
NADSYN1	5.48311670117093
UBE2W	6.9174446525516
RGS14	4.34180369329371
KRT15	4.25492595529637
SCN11A	3.69532845204239
GFI1	3.39602133072878
FHL1	4.9316765870715
SMC6	5.44123109842381
GATA1	3.52752198744479
OSGEP	4.92120834479524
ARMC6	4.85644937075261
HK3	3.73900963831357
PSMD5	7.18581247748857
RSU1	8.24235844399408
RPL4	12.1393931879956
MAD2L1	8.30271296348267
RBPMS	5.92917884074203
EIF4A3	9.00079296602207
E4F1	4.85797719964339
DLEC1	3.54167541730061
PRPF3	6.19129752366855
EMR1	3.39282902139281
CHMP2B	7.60772537876855
CAMSAP1	4.01258498597592
RPS21	9.68987729035188
XCR1	3.36648297258629
ARID5A	4.44597012337159
RBM6	5.7148424916948
UBE2N	7.88014764541333
KLF4	4.01700019428018
MGC4172	4.46443133023038
LMO4	7.8679842337288
KLKB1	3.18602701320928
HDAC3	6.55915124561125
HP	8.98853656283434
SCHIP1	6.33633030260653
BTK	4.4113679721723
KRCC1	8.09036347607963
PRND	2.86279766382267
C6orf27	3.60345056358749
PIGL	3.93447582447241
CLCA1	3.87590998800193
C1orf112	4.33411053444688
