Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D02_491150
Composite Element REF	Signal
AACS	6.71822932833897
FSTL1	8.19855430060092
ELMO2	5.91402693604952
CREB3L1	4.07148985905983
RPS11	10.3213569994664
PNMA1	8.41625221716325
MMP2	7.99058684414194
SAMD4A	4.23083902070592
SMARCD3	8.11530263123662
A4GNT	3.75555132984332
C9orf39	3.78494350462597
PKNOX2	3.84206706205115
RALYL	3.51847715475164
ZHX3	4.02092468092929
ERCC5	6.26872745023249
RXFP3	3.00078488725650
APBB2	3.69104050410433
BBOX1	5.62565467143100
PRO0478	3.02123314930038
GCSH	8.92097392375835
XDH	3.4620050593124
EDN1	4.53151401307623
MTERF	6.7822264958047
PDCL3	7.18611620471889
CLK4	6.24988512139697
KCNG1	3.44483164927343
CXCR4	8.26039900316773
DECR1	8.64065017560084
SALL1	5.06435036870296
PTPRR	3.25069193735036
CADM4	3.30727808985733
IRAK1	9.88638156982581
CFHR5	3.22777794398359
HNRPD	7.90035496590727
TMSB10	11.7081317246902
CXCL3	3.59823712004575
LMAN1	4.41436020162718
SUHW1	3.34451223634565
CHD8	5.82964928944297
SUMO1	7.63052754466932
GP1BA	3.33749709513743
OR7A10	3.78146237413366
DDB1	7.74432009118683
CHRNA10	3.73484944745614
STYK1	3.35504818191016
MYO9B	4.52522877586772
CCNI	9.52554709396525
MMP7	9.17938430753787
EP300	6.77843823066983
CRNKL1	6.72427714654338
C9orf45	3.24739952061786
XAB2	4.73823052221305
RTN1	5.11183707447174
HIC2	3.95631562085624
TBX10	3.47159162161959
CENPQ	5.03608320646721
UTY	2.9887592196902
OR2W1	2.87304057965229
ATP5G2	10.5444382458291
ZEB1	3.60227670496604
ZG16	3.38350589118061
ERG	4.56996451449688
PARN	6.84787551991529
SOD2	6.86367973886284
JOSD3	7.45020114358163
ADAM5P	3.16554495506244
CHD9	6.91284412049752
hCG_40738	3.74442275242851
STK16	5.0672991122613
PDE1C	3.69051277812445
SEMA4D	5.92046807670516
AGPAT1	6.5636870392688
TOB2	7.29297719251658
BANK1	3.49041304359053
MAP3K3	6.24674494688744
MAX	5.95235627678884
GRM2	3.65816603774905
OSBPL8	7.77020272693776
PROSC	6.57600206783874
NR4A2	8.47913907044404
RICS	4.46943836949313
PIR	7.47214207900779
PPCS	8.91255114302118
IPO9	6.74422491769051
LONP1	7.67561413700202
EVC	4.33983532695711
CXCL13	5.04435409374994
SCYL3	5.4341894122888
KIAA1199	6.98730790883262
SORL1	9.62869394209517
NAT10	7.82130239650773
CHD1	7.1774634888377
SYN3	3.30507744563964
DMC1	4.24117799512934
SLC22A2	3.81023947770754
SERPINF1	8.40414588907828
C20orf27	6.7132478437522
OR7A17	3.0857126558139
RPS6KA5	5.74205897387068
LHB	3.20286425357443
TAOK3	5.49309218444196
STK25	5.59744428037445
SLC12A4	3.55253671563868
BRCA1	4.09707714024801
GBL	4.94768357297157
C14orf108	9.11608834076625
CDC25B	7.76117532609187
BMP3	3.05510482468004
MAP1LC3C	3.51279470518250
TMEM180	3.69666046764511
CRYGC	3.49295067710477
SLK	6.40920354785874
POU3F1	3.15454341272926
C20orf32	3.7165257050864
USP52	6.43869503945324
HIGD1B	3.95880349584678
BAZ1B	6.93996169225596
USP6NL	5.44810092562197
SLCO2B1	5.03687788156473
ABCD4	4.79087484204776
DIMT1L	6.47962375421815
SLC25A46	7.93460045097296
LARP7	7.06872072125788
TEK	3.61500239554871
CD160	3.79087414621362
TERF2IP	8.04913363061772
PHF20	6.09990910274189
COL1A1	8.44865285649505
KIAA0090	5.44845512339453
GTPBP1	4.75021424316153
GRK5	4.20946794224702
AP1S2	6.93582967215101
RAB33B	4.73330491221186
CA11	5.54139029950418
ALDOC	5.94854350929858
NUDT1	5.24002017079565
ZNF212	5.48134061002602
ACBD3	8.08074809004617
ZNF83	7.23627293099842
PRDM2	4.64093729376663
GDPD5	4.17885447234309
PDCD4	6.09990605370231
CEP350	6.7520830150809
FOXP3	3.14462448278946
SMYD3	7.9032485003665
CST7	4.76606995824983
SELL	5.91776941103627
CIAO1	6.33751873635826
LGI2	3.74294136171886
WDR45	7.12941965314743
ANKRD6	7.45444288598069
LTBP4	3.54298708378491
PSCD3	3.24837264448692
PYY	3.24651069471736
KCNC1	3.09167459230980
SIRT6	4.86397855773259
CCL19	4.18674991033367
ARHGEF9	4.56257503854103
ABR	4.67452892921213
C10orf22	7.2890594868297
STK17A	5.02449091843184
FOXE1	3.40169631998579
GML	3.25781007137290
CNGA3	3.09975584040559
CD38	4.62382814258095
ZDHHC6	7.9264990593004
NEFH	3.42046348251105
PGBD5	5.45301272628628
CTDSP2	7.3928101590058
RMND5B	5.32027074397229
ZNF257	3.3596489032447
DUSP4	3.59563617689447
FLJ22167	8.08967789513235
EXOSC7	6.75725621635861
ROR2	3.5033491185644
FOXM1	5.87493792898202
ZBTB48	4.10764762720702
BUD31	7.97263120340395
MAOA	3.66813177580031
CCDC41	5.57463244428748
TNNT3	3.69081358321512
FBXO11	5.08600887566778
GYPC	6.80182743806528
PLIN	3.99597153466410
RFXAP	3.44424488458942
C6orf15	3.5482851308956
RNF4	8.10711456717132
F8A1	8.18729845373648
PPP1R3D	5.18934138106736
GRB2	7.16354342251096
TPM3	3.19330185915182
SYT13	3.66972137356447
EPB42	3.46666586516672
RP5-1077B9.4	5.22458952111271
EIF1	10.6004637623055
CETN3	7.22190597239843
FPGT	7.0452500679901
PRY	3.51522905154093
NTHL1	5.3124481522414
POLR2B	9.01946619031215
