Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D01_491152
Composite Element REF	Signal
AACS	6.47153456739149
FSTL1	9.57188593497412
ELMO2	6.34237312904744
CREB3L1	3.91626281429345
RPS11	10.2519885484559
PNMA1	9.35097788212788
MMP2	5.67363063232586
SAMD4A	4.33211442277936
SMARCD3	5.77093030183208
A4GNT	3.69868252036751
C9orf39	3.25016697989684
PKNOX2	4.87813990086232
RALYL	3.61605688514645
ZHX3	4.29794520274928
ERCC5	5.2494446524317
RXFP3	3.01500492098946
APBB2	4.97684630918956
BBOX1	3.08658493661053
PRO0478	2.85650256292275
GCSH	7.55382320133573
XDH	3.22030938767465
EDN1	4.2051994821427
MTERF	5.66578772533982
PDCL3	8.1628670245694
CLK4	5.59302483540172
KCNG1	4.27546085681112
CXCR4	7.09299580537826
DECR1	8.86242860170028
SALL1	4.341572300044
PTPRR	3.95819071481272
CADM4	4.20416230163576
IRAK1	7.38262547766975
CFHR5	2.93930031626419
HNRPD	8.9185674763961
TMSB10	12.6068014345521
CXCL3	4.71038448501343
LMAN1	3.88661377229261
SUHW1	3.40039752758139
CHD8	6.44139448860728
SUMO1	8.39323122929301
GP1BA	3.14398258054168
OR7A10	3.57544818827612
DDB1	8.0302507084568
CHRNA10	3.37590354488221
STYK1	4.46225350012409
MYO9B	4.73038534471497
CCNI	9.95363085377933
MMP7	7.6675048662962
EP300	6.63783221793122
CRNKL1	8.4009454761086
C9orf45	3.06111174255684
XAB2	4.81965872003479
RTN1	4.47456140147616
HIC2	5.10584490292829
TBX10	3.39591912094341
CENPQ	5.88297508341452
UTY	3.17388174511358
OR2W1	2.7968901943207
ATP5G2	11.3861712844041
ZEB1	3.47260544617969
ZG16	3.1609819123263
ERG	3.55171530131975
PARN	7.50078852288156
SOD2	4.88221418332131
JOSD3	7.0661647581688
ADAM5P	3.21247723781004
CHD9	5.499106959232
hCG_40738	4.21080033690779
STK16	4.52454709517555
PDE1C	3.58355224186325
SEMA4D	5.60395713624749
AGPAT1	7.09925919068105
TOB2	5.83309922644967
BANK1	3.99149174440528
MAP3K3	4.91763121324912
MAX	5.03692649697674
GRM2	3.6424941048061
OSBPL8	7.91718320846576
PROSC	5.80358367549783
NR4A2	5.75303521973614
RICS	5.49761846592678
PIR	4.27019350692169
PPCS	8.47109393353111
IPO9	7.05250752200562
LONP1	6.9176707256938
EVC	4.03592301108448
CXCL13	3.83913332305632
SCYL3	6.3058450826194
KIAA1199	6.22387577050173
SORL1	8.1525296426179
NAT10	6.42268820544192
CHD1	7.34707833866838
SYN3	3.33831610466485
DMC1	4.06605140511788
SLC22A2	3.85562140979436
SERPINF1	5.00204840631529
C20orf27	6.26651891980393
OR7A17	3.11662634460641
RPS6KA5	4.7053386646473
LHB	3.24494634765424
TAOK3	4.52605405930256
STK25	6.93455510077039
SLC12A4	3.43429416485478
BRCA1	5.21682651146838
GBL	6.26980470118896
C14orf108	9.0680613607477
CDC25B	8.02519719413117
BMP3	3.14815504819581
MAP1LC3C	4.88125878213019
TMEM180	3.15404749824460
CRYGC	3.45796996401045
SLK	7.09141569283575
POU3F1	3.33199241765897
C20orf32	3.56373241835106
USP52	7.62457627733053
HIGD1B	4.01579989124787
BAZ1B	7.28435689130197
USP6NL	6.5563017476566
SLCO2B1	3.76355421119704
ABCD4	4.66437241134092
DIMT1L	6.23534318146881
SLC25A46	7.64114032671277
LARP7	6.83888613947568
TEK	4.45149713681518
CD160	3.61142808291767
TERF2IP	7.46907524706154
PHF20	5.90699231402779
COL1A1	7.44024593219807
KIAA0090	6.40352166472093
GTPBP1	4.28421976380322
GRK5	4.12231584168750
AP1S2	6.25786041407718
RAB33B	3.95781684720001
CA11	4.33358477693444
ALDOC	3.91916284826516
NUDT1	6.4934732565101
ZNF212	6.39245644357949
ACBD3	7.02090434003749
ZNF83	6.03416438969619
PRDM2	5.04569867963425
GDPD5	5.41958631294124
PDCD4	6.9034073914655
CEP350	6.22708663433821
FOXP3	3.14145000094185
SMYD3	8.26585837568587
CST7	3.49569390873583
SELL	3.81920681426067
CIAO1	6.83863189327846
LGI2	4.34513611543187
WDR45	6.49980453463992
