Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_B04_472054
Composite Element REF	Signal
AACS	6.12754933400792
FSTL1	6.54486623679333
ELMO2	5.5168646547043
CREB3L1	3.94209009600276
RPS11	9.2220251179171
PNMA1	7.94009086548398
MMP2	6.08686527001314
SAMD4A	3.60901321659578
SMARCD3	5.55723615437292
A4GNT	3.78155422217094
C9orf39	3.14907275116901
PKNOX2	4.05902505030103
RALYL	3.13393002391189
ZHX3	4.13063308765331
ERCC5	5.96792120784999
RXFP3	3.39749798970523
APBB2	3.46938607456442
BBOX1	3.2028406446037
PRO0478	2.92473903187892
GCSH	7.30413947244691
XDH	3.45542518143243
EDN1	3.70765497115352
MTERF	5.54644340120922
PDCL3	7.20265355226273
CLK4	5.19033530876372
KCNG1	3.85385977115364
CXCR4	8.47229320413155
DECR1	8.03742864861157
SALL1	3.22602860957798
PTPRR	3.21821910398254
CADM4	3.36547823930837
IRAK1	8.7711089889868
CFHR5	3.16980973024291
HNRPD	7.39403727203152
TMSB10	11.5931927714172
CXCL3	3.39837694468296
LMAN1	4.3184004802374
SUHW1	3.38588582916703
CHD8	5.97624472985137
SUMO1	7.9604597283543
GP1BA	3.6467747943028
OR7A10	3.69542361405184
DDB1	7.46917824248967
CHRNA10	3.54678532862958
STYK1	3.34060819190768
MYO9B	4.13789656000798
CCNI	9.8969800595928
MMP7	8.95067059996221
EP300	5.8355020740631
CRNKL1	6.70144099755834
C9orf45	3.31478001519992
XAB2	3.81117044214128
RTN1	4.22974355974447
HIC2	3.67476941487563
TBX10	3.52215406240014
CENPQ	3.79408562186553
UTY	3.17555655543612
OR2W1	2.9301895957261
ATP5G2	10.7381095818346
ZEB1	3.55482910973022
ZG16	3.42328046698975
ERG	3.98475273397226
PARN	6.9025128493013
SOD2	5.03642970442094
JOSD3	8.1388339307714
ADAM5P	3.19545481538218
CHD9	5.386501020836
hCG_40738	3.79096052648671
STK16	5.5713504960902
PDE1C	3.49191534506265
SEMA4D	5.99771296872683
AGPAT1	6.18037707259833
TOB2	6.14584105680429
BANK1	3.28654436645188
MAP3K3	5.1621561886019
MAX	5.90601353858295
GRM2	3.77519290041625
OSBPL8	6.26422323324136
PROSC	6.25847042802343
NR4A2	3.6265049091621
RICS	5.88911316300193
PIR	4.94088187762877
PPCS	9.34151475132656
IPO9	5.64185198464746
LONP1	6.0832858365696
EVC	3.99225741179621
CXCL13	3.90485940423085
SCYL3	5.55628759595618
KIAA1199	5.59929144321803
SORL1	11.2886092766779
NAT10	7.24565163793759
CHD1	5.42518298632004
SYN3	3.48737711832048
DMC1	3.78545336617079
SLC22A2	3.3726728666859
SERPINF1	5.14530699781589
C20orf27	5.79847743740917
OR7A17	3.26333783730974
RPS6KA5	4.20415050781486
LHB	3.37027673484763
TAOK3	4.82592401422348
STK25	5.62791433037483
SLC12A4	3.51978884165246
BRCA1	3.56120927034709
GBL	5.35032482248723
C14orf108	8.09083348355544
CDC25B	5.33874481408174
BMP3	3.37726018467535
MAP1LC3C	3.39115376123214
TMEM180	3.83587143985866
CRYGC	3.69552046893717
SLK	6.33026287963765
