Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A02_443064
Composite Element REF	Signal
AACS	6.60182076477079
FSTL1	5.97888018866894
ELMO2	4.91535368699865
CREB3L1	3.84898151513282
RPS11	10.2563411611171
PNMA1	6.9045043474962
MMP2	6.27982762094407
SAMD4A	3.8295284201595
SMARCD3	5.47474544082568
A4GNT	3.98203822587346
C9orf39	3.21318062601856
PKNOX2	4.09603419506358
RALYL	3.3345814112075
ZHX3	4.34098869852499
ERCC5	6.3228200650855
RXFP3	3.14458278726882
APBB2	3.73280318741803
BBOX1	5.93834160786901
PRO0478	2.87579152728335
GCSH	8.6345689059698
XDH	3.635268531956
EDN1	4.08970035981673
MTERF	7.19797508782397
PDCL3	7.09341998237542
CLK4	4.90778242830557
KCNG1	4.62791021256834
CXCR4	6.80795781637877
DECR1	7.58049435879881
SALL1	2.90826699244695
PTPRR	3.36512203090174
CADM4	3.54369031278782
IRAK1	9.38047427659896
CFHR5	3.35223892590006
HNRPD	8.14734220363757
TMSB10	11.3717636187674
CXCL3	3.99036178559659
LMAN1	3.74690523699287
SUHW1	3.45701195236029
CHD8	6.11935499908668
SUMO1	7.69727483768776
GP1BA	3.22115946695739
OR7A10	4.07054338336242
DDB1	7.93406245533607
CHRNA10	3.6353728321123
STYK1	3.44472007746668
MYO9B	4.81871196274043
CCNI	10.5475722544152
MMP7	4.52837696359603
EP300	6.52009600963846
CRNKL1	6.16174806029708
C9orf45	3.17769645159926
XAB2	4.10884362127151
RTN1	3.58054841283727
HIC2	4.62164601603047
TBX10	3.46056513301497
CENPQ	5.03683211452467
UTY	3.28358522057054
OR2W1	2.88327496759428
ATP5G2	9.8205195513519
ZEB1	3.2208625864621
ZG16	3.34771746235684
ERG	3.64649268103850
PARN	7.44187973701489
SOD2	4.97214025829591
JOSD3	7.67652335945787
ADAM5P	3.16801388796272
CHD9	5.8358929262703
hCG_40738	3.95063109122137
STK16	4.32285045250461
PDE1C	3.82243973907723
SEMA4D	6.10137831085861
AGPAT1	7.07665284896964
TOB2	7.36754232887182
BANK1	3.9345860542377
MAP3K3	5.33432143858008
MAX	4.84535891943004
GRM2	3.92384048982591
OSBPL8	7.1958367031568
PROSC	5.47724738221824
NR4A2	4.07837267979352
RICS	5.47538376525792
PIR	4.08548866803956
PPCS	9.35448292099996
IPO9	6.79117998267515
LONP1	6.87208941803633
EVC	4.45651108830409
CXCL13	3.78096741467012
SCYL3	5.36149098162161
KIAA1199	6.88872587927163
SORL1	7.37645107031311
NAT10	6.11272170100197
CHD1	6.68121706817494
SYN3	3.57732486392895
DMC1	3.82425966402823
SLC22A2	3.57237653124918
SERPINF1	5.03245457441844
C20orf27	5.69971985732998
OR7A17	3.2529493461771
RPS6KA5	4.68624585016149
LHB	3.60188014486548
TAOK3	4.66965142267748
STK25	5.59934979233321
SLC12A4	3.71151689925625
BRCA1	4.2590632260039
GBL	5.52271262027302
C14orf108	8.35561039880176
CDC25B	6.84356466670741
BMP3	3.40113537261072
MAP1LC3C	3.45515988079032
TMEM180	3.46538455392704
CRYGC	4.06614750936601
SLK	6.37472444078283
POU3F1	3.47013168813429
C20orf32	3.99943931361155
USP52	4.92842168758964
HIGD1B	4.22351670055105
BAZ1B	7.36057827340378
USP6NL	6.07974192742519
SLCO2B1	4.12852900524044
ABCD4	4.18580401030821
DIMT1L	5.31449169447101
SLC25A46	6.88229125239766
LARP7	6.99359311369256
TEK	3.86648847846746
CD160	3.68351628554201
TERF2IP	7.23593139142873
PHF20	6.52589221767321
COL1A1	5.50164089973021
KIAA0090	5.69895450550496
GTPBP1	4.35476268760435
GRK5	3.80908560144792
AP1S2	4.30142558170246
RAB33B	4.35162040278341
CA11	4.54493154435853
ALDOC	5.41443336973684
NUDT1	5.24140438570557
ZNF212	6.3453907625597
ACBD3	7.8723602896135
ZNF83	6.24607209442326
PRDM2	4.89870110902993
GDPD5	4.96252282572301
PDCD4	6.66098766813489
CEP350	6.66798911856103
FOXP3	3.46362527142816
SMYD3	6.76294858266583
CST7	4.00239613514189
SELL	3.78346549501577
CIAO1	5.95033945833165
LGI2	4.20156892504131
WDR45	7.06142426374309
ANKRD6	7.92108264681364
LTBP4	4.37248675867208
PSCD3	3.41120761205645
PYY	3.35508583120536
KCNC1	3.10081550507647
SIRT6	3.98267716805729
CCL19	3.64818672850691
ARHGEF9	4.62590021092409
ABR	4.5047894134156
C10orf22	7.0464312897599
STK17A	4.14548348459249
FOXE1	3.20362356901213
GML	3.27964529262802
CNGA3	2.87831729931184
CD38	3.46016764168007
ZDHHC6	7.04938593670997
NEFH	3.49213374471676
PGBD5	3.25480949626625
CTDSP2	7.23114484472149
RMND5B	5.91950549639822
ZNF257	3.90138270397943
DUSP4	3.32668498892524
FLJ22167	5.72248549486042
EXOSC7	5.50367460518171
ROR2	3.60965174544779
FOXM1	6.30970795698461
ZBTB48	4.31768682832685
BUD31	7.78924089419095
MAOA	4.2280411010527
CCDC41	4.64600115805815
TNNT3	3.88982755404409
FBXO11	6.02468366558721
GYPC	4.55120448197602
PLIN	3.58396052589928
RFXAP	3.39734417627342
C6orf15	4.11003400343949
RNF4	8.45520454001075
F8A1	8.38883412668994
PPP1R3D	4.9037255808025
GRB2	6.81466460271132
TPM3	3.29019213349716
SYT13	4.12155770462909
EPB42	3.65204284686994
RP5-1077B9.4	5.09977927214169
EIF1	9.85146912478282
CETN3	7.3137932631675
FPGT	4.73749575365229
PRY	3.6146561564504
NTHL1	5.14401246451182
POLR2B	8.9724899237008
RPS28	11.5812123072323
GDF10	3.17913551581640
COQ9	7.50357816786493
P2RX3	2.91845037435967
GCC2	6.29886372373072
RARRES3	4.35953952620816
PLXNA1	6.75598155933466
WBP4	5.14313576645494
KIAA0100	6.34697030311817
PMF1	6.73068282203665
HS2ST1	7.14385058560184
CRELD2	7.1095335472381
C8G	3.00843067383884
CD82	5.12231884373148
PMM1	4.60388154643563
CBLL1	5.44360464332385
LIM2	3.50225735916611
VAX2	3.71937430169785
SETDB1	6.07570714444431
LRAP	3.02996319706089
GCLM	6.73990872170577
CPEB3	3.64827111532836
PPM1A	5.74012084346089
INTS1	4.26567613298169
MMP16	3.28601226666983
CAMTA1	3.62973680798675
SAMSN1	3.86111303824513
DRD3	2.91941220377480
GMPPA	4.81602612107723
C11orf73	5.59406804796559
AIPL1	3.95501254211388
PTP4A2	8.82092947600353
IL24	3.38631247766510
BDKRB1	3.37924046034919
HPCA	3.57256238444644
MLF1	7.1720109798653
SEC14L1	6.45703525578602
CHFR	5.74517318951132
EMILIN1	3.4324510389184
THADA	6.82979907975558
TAF12	4.20734474976261
NDUFS4	7.81631690565244
ID1	5.12318822556568
PIK3CB	3.4912072142469
COL18A1	7.08906539569419
PDZD3	3.47154225744075
TBC1D17	4.40980136998751
COX8A	9.71408229198338
CDCA4	5.45505951794741
C2orf44	4.7763768045923
C9orf16	7.04738988396105
ERBB2IP	8.16231694869515
EMX2	9.05130803064087
FUS	6.16083300295688
NIPSNAP3B	3.42996165659186
TF	3.33358887129659
CXorf56	5.58799755151723
CLCN4	3.77247124210132
PWP2	5.32500371637055
MMP15	3.92929588802055
MTMR14	5.64389944620258
NPR1	7.71552259008776
DNAL4	5.90710246267674
ELAC2	4.27324582569829
ASS1	9.90139145107146
IPP	5.64474868247688
TMEM59	8.87762245769249
POLR2J	9.43527513499276
SEC23IP	5.16581388537211
RGS4	3.74486934646881
UQCRC1	8.02251445121347
SNX6	8.66074976941033
DDX18	6.54762896804807
POLG	5.03117349057512
ADAM23	4.06192076287306
ZNHIT2	5.05797768012992
TFR2	3.17335034238289
NCDN	4.30293868441244
RAG1	3.52560181274970
POMT1	4.50626992486262
CYP1A1	3.55551769802447
SNAPC1	5.7096733562743
GNA11	5.52594764002431
CCDC52	2.83303975802349
CAPN1	6.65001141156395
DDHD2	6.6537180405207
UPF3A	5.72015573068775
LAGE3	6.3432107963641
GNRHR	3.10359372748249
UNC13B	4.88580611227686
TTLL4	3.9866526151936
PPBP	3.07279452207861
HTR3A	3.24410930216461
SDC2	4.52186182592891
ANKRD49	6.8993674341763
BTF3	9.73077992940096
COX7A2	10.3597594782162
SARS	8.22688884650182
C13orf18	3.39812234560966
CACNB1	3.97246047407971
QKI	5.48597912971317
SETMAR	5.20435994575569
LAMB4	3.25505148414353
MAN2B1	7.04655468745915
EML3	5.19673073303703
ACADL	3.17039546925615
OFD1	7.25562609675092
CGA	3.56073771430407
EIF3EIP	10.6758836159271
PEX16	5.07706539105333
GNG12	8.14371655479793
HABP4	5.13556823447933
CNTN2	3.77374097566323
ASNSD1	7.06879647920768
FUT4	4.37160570759917
DBH	3.3908717823887
CD53	5.29999792206868
HIST1H2BJ	3.82365985270761
TFAP2B	3.361618414877
ACF	3.71019086227018
TMEM11	5.76762498558281
CDH8	3.49218020846299
C3orf32	4.70840635501537
AGPS	4.40382822096915
C4orf18	3.15291687458746
PCCB	7.55911704482347
IPO13	5.37186848456334
PECI	6.04183441578784
UNG	7.25099979653233
C6orf105	3.59311102903686
GSTP1	7.99744276066866
SUV420H1	7.28748989994772
ARHGAP15	3.85043667121517
LTBR	7.41818654496979
TDRKH	4.06521560325465
PSG4	3.49098035295104
SLC9A3R1	5.3760509148545
NBPF3	9.10908697463244
SLC9A3	3.73443736780324
OSBP	6.0998291836807
PRR5	4.73527990208945
CHMP7	5.37566257845212
ADRA1A	3.17029475497325
ASAH1	6.35607189281244
FKBP4	7.32668005212106
ZNF350	5.57752805951298
DOM3Z	6.00458293006656
GIPR	4.04097660481763
AHI1	3.93688923360831
BST1	3.87714471788809
NCR2	3.6701381975501
NADSYN1	4.61297521659574
UBE2W	6.34007786827078
RGS14	4.18069135388559
KRT15	4.37612578681615
SCN11A	3.68864847678010
GFI1	3.6218632932014
FHL1	5.95498894372217
SMC6	6.04595008779097
GATA1	3.81574065173305
OSGEP	4.86732842305843
ARMC6	5.05964878418183
HK3	3.47346497123295
PSMD5	6.24507361848464
RSU1	8.06087598821889
RPL4	11.7149020078660
MAD2L1	6.34739104178756
RBPMS	5.09297871315529
EIF4A3	8.00702743804093
E4F1	4.88343197163673
DLEC1	3.70928442119315
PRPF3	5.6331671938003
EMR1	2.95998601840491
CHMP2B	6.08061018071539
CAMSAP1	4.26416638139369
RPS21	9.99684738359624
XCR1	3.50390311769026
ARID5A	4.61380890727109
RBM6	5.56907274817932
