Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D07_491156
Composite Element REF	Signal
AACS	7.0726120220372
FSTL1	7.24755163713215
ELMO2	5.43959795337088
CREB3L1	4.57483267098862
RPS11	10.6567823860364
PNMA1	7.32184444010066
MMP2	4.9463725813714
SAMD4A	3.65703511873408
SMARCD3	8.86006927386532
A4GNT	3.99923068850562
C9orf39	3.04806358192262
PKNOX2	4.72515320391299
RALYL	3.41168863894032
ZHX3	4.51510630651948
ERCC5	6.63126344262728
RXFP3	3.05745751093101
APBB2	3.91382813305948
BBOX1	7.74953527015515
PRO0478	2.98295911793261
GCSH	8.15828254524
XDH	3.77087406068662
EDN1	4.04310640583351
MTERF	5.69842616955691
PDCL3	7.54980029338772
CLK4	5.3977998237468
KCNG1	3.66600853616252
CXCR4	8.8660936572319
DECR1	8.70818362319624
SALL1	3.01314731934257
PTPRR	4.0926710185094
CADM4	3.51308878391179
IRAK1	8.55064123278817
CFHR5	3.17378767745369
HNRPD	7.3009419413498
TMSB10	12.0523070125861
CXCL3	3.89884297676322
LMAN1	3.56246790224439
SUHW1	3.41357176374322
CHD8	5.87876677946753
SUMO1	8.06592884237847
GP1BA	3.40202447983917
OR7A10	3.60284880574714
DDB1	8.33191494656619
CHRNA10	3.64093277179508
STYK1	3.09362952589503
MYO9B	4.18150064305645
CCNI	11.324259945148
MMP7	10.6578739349771
EP300	6.10857709746396
CRNKL1	7.24058988292074
C9orf45	3.35402307128954
XAB2	4.71250170667429
RTN1	3.49061049500533
HIC2	3.85876473843195
TBX10	3.51281628102853
CENPQ	4.21907322276675
UTY	3.27786372317404
OR2W1	3.06775913515212
ATP5G2	11.3775010168219
ZEB1	3.13954463896111
ZG16	3.42798681670931
ERG	3.59678838397474
PARN	7.123812928157
SOD2	4.7603277824488
JOSD3	8.32940643467673
ADAM5P	3.45357559154146
CHD9	5.92845783327077
hCG_40738	3.73793047247084
STK16	5.51567217042726
PDE1C	3.59236852319145
SEMA4D	4.5308217259798
AGPAT1	6.27454963190665
TOB2	6.13936555038242
BANK1	4.36616584123
MAP3K3	5.22932785273214
MAX	5.11461498276548
GRM2	4.01502057959839
OSBPL8	6.83998059804385
PROSC	6.34686550496097
NR4A2	5.06739775956317
RICS	4.84390907421031
PIR	5.32518808924766
PPCS	9.01805530940872
IPO9	5.53090493224501
LONP1	7.39357925621112
EVC	4.33206196047579
CXCL13	4.26160443556902
SCYL3	5.43936714125784
KIAA1199	6.94099018573691
SORL1	8.71756776188794
NAT10	8.04294231416411
CHD1	6.76663283213534
SYN3	3.67271127694385
DMC1	3.8671346766079
SLC22A2	3.70113330294643
SERPINF1	4.9184264432478
C20orf27	6.1742062848134
OR7A17	3.25878971248789
RPS6KA5	5.89203144123948
LHB	3.16565658102566
TAOK3	4.84975126636312
STK25	6.38314157909378
SLC12A4	3.64520819274048
BRCA1	3.34421936566808
GBL	6.27341046671022
C14orf108	6.43654228341201
CDC25B	5.86733492796224
BMP3	3.2112254272987
MAP1LC3C	3.68537760126142
TMEM180	3.64118443655669
CRYGC	3.78303069199752
SLK	6.30680294253097
POU3F1	3.15975926227608
C20orf32	4.0438585180908
USP52	4.94851107153858
HIGD1B	3.89502854372062
BAZ1B	6.37969207889647
USP6NL	5.8219069828511
SLCO2B1	4.03482145884746
ABCD4	4.5063678774661
DIMT1L	6.56146625886933
SLC25A46	7.41627038890738
LARP7	6.01084904666738
TEK	3.5177495124616
CD160	3.79326890912441
TERF2IP	7.42684186103123
PHF20	6.2298248095764
COL1A1	6.1436861976599
KIAA0090	5.14327561300822
GTPBP1	4.5800844022552
GRK5	4.05758806657308
AP1S2	5.45785727503948
RAB33B	4.90701478466813
CA11	4.94644692297355
ALDOC	5.94658952675317
NUDT1	5.77291880050523
ZNF212	5.35246228366926
ACBD3	6.89133186337324
ZNF83	5.39758455151347
PRDM2	4.46635718952789
GDPD5	4.79126395956788
PDCD4	6.88117801631606
CEP350	5.7990400673992
FOXP3	3.24118192380341
SMYD3	6.86538261220512
CST7	3.8967753834152
SELL	4.29609379810715
CIAO1	6.55231167375206
LGI2	3.44584323570397
WDR45	7.33233299517848
ANKRD6	6.80658915037479
LTBP4	3.51951880125071
PSCD3	3.48977937624214
PYY	3.28380378244034
KCNC1	3.29666503894319
SIRT6	4.55727367233386
CCL19	3.94328406643405
ARHGEF9	4.30863802544352
ABR	4.24780165286015
C10orf22	5.8697411433194
STK17A	5.42551045762006
FOXE1	3.25747431252848
GML	2.99582277718112
CNGA3	3.10113477598765
CD38	3.57441486543427
ZDHHC6	6.51486234987186
NEFH	3.85680951941662
PGBD5	3.69851137760867
CTDSP2	6.98492123283526
RMND5B	6.03400818050175
ZNF257	3.44261388408869
DUSP4	6.14620460132863
FLJ22167	5.58598761165673
EXOSC7	6.96870792014879
ROR2	4.22270234991844
