Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_A08_464146
Composite Element REF	Signal
AACS	6.08253224142002
FSTL1	7.22388607881966
ELMO2	5.3635168007109
CREB3L1	3.68827998073423
RPS11	9.77078183255743
PNMA1	7.32856317653703
MMP2	6.41397481415076
SAMD4A	3.68145880087024
SMARCD3	7.95417358630669
A4GNT	3.57324996032193
C9orf39	3.69338347839089
PKNOX2	3.80116285670831
RALYL	3.35662296567774
ZHX3	3.96061809788105
ERCC5	6.8784385464615
RXFP3	3.13473886636145
APBB2	3.67800162699022
BBOX1	8.52905290436168
PRO0478	3.02920683756891
GCSH	6.55885391677003
XDH	3.80398218656884
EDN1	3.99729225945358
MTERF	5.3684892766699
PDCL3	6.71571916385532
CLK4	7.45874402451801
KCNG1	3.37654950214616
CXCR4	8.31980826234144
DECR1	8.71556113196769
SALL1	3.17489765084155
PTPRR	3.44041678479473
CADM4	3.3509208422324
IRAK1	8.33381158708945
CFHR5	3.40832144710484
HNRPD	7.29819908515873
TMSB10	12.1319332416349
CXCL3	4.12352658051242
LMAN1	3.64610897119761
SUHW1	3.32723972324831
CHD8	5.12193626980439
SUMO1	7.78746879285359
GP1BA	3.33561756262278
OR7A10	3.81416183262185
DDB1	7.7241310852481
CHRNA10	3.55957232742976
STYK1	4.18147971495956
MYO9B	4.12912576709459
CCNI	10.4999198320269
MMP7	9.66702662541619
EP300	6.00168513336959
CRNKL1	5.82834541833584
C9orf45	3.38165212483776
XAB2	4.36560558783731
RTN1	5.08121359930298
HIC2	3.95966876942381
TBX10	3.59373840001017
CENPQ	4.25798166086575
UTY	3.16059560841064
OR2W1	2.85803612340953
ATP5G2	9.92461074181701
ZEB1	3.38588990937696
ZG16	3.43146087696397
ERG	3.55336328786946
PARN	7.2785352420564
SOD2	6.60533109403557
JOSD3	7.39570108405725
ADAM5P	3.29691186711341
CHD9	6.68888352659248
hCG_40738	3.63215787608789
STK16	4.96044664795098
PDE1C	3.71677959268677
SEMA4D	5.41423179359312
AGPAT1	5.97883018815279
TOB2	6.24409826606352
BANK1	3.5478883868442
MAP3K3	5.31259383970564
MAX	4.85540308111594
GRM2	3.82793304218697
OSBPL8	7.02281936350487
PROSC	5.45557016674518
NR4A2	6.15352605560122
RICS	5.42003961808765
PIR	4.75720086413982
PPCS	9.01267073935816
IPO9	6.78858343131985
LONP1	7.14986400483721
EVC	3.97845936235809
CXCL13	6.49223987550028
SCYL3	5.42117225820617
KIAA1199	5.7349394547118
SORL1	8.17891554698623
NAT10	6.52267479124024
CHD1	5.85423312449092
SYN3	3.57189368679009
DMC1	3.99939982771029
SLC22A2	3.53439443787095
SERPINF1	6.9247033364959
C20orf27	4.7292697249801
OR7A17	3.00383115358800
RPS6KA5	5.82444993106444
LHB	3.44378685780526
TAOK3	4.94600822535523
STK25	4.82236543542691
SLC12A4	3.51784524739003
BRCA1	3.74918476682132
GBL	5.41981953990087
C14orf108	8.41061774731677
CDC25B	6.28759346501848
BMP3	3.30935325183748
MAP1LC3C	3.37684025414227
TMEM180	3.8867606471039
CRYGC	3.59445138405335
SLK	6.64722707108248
POU3F1	3.27089967864374
C20orf32	3.80566919554411
USP52	5.75445215476529
HIGD1B	3.90385316779293
BAZ1B	6.93462483511557
USP6NL	5.26441825958236
SLCO2B1	4.76038890345022
ABCD4	4.93989400839672
DIMT1L	5.3526062758639
SLC25A46	5.3551683872919
LARP7	6.08419495270388
TEK	3.60914660499487
CD160	3.64632336462021
TERF2IP	6.44179883140819
PHF20	6.47902950367289
COL1A1	6.66467296577874
KIAA0090	5.26503051678691
GTPBP1	4.34806367128803
GRK5	3.84823217874558
AP1S2	5.54584353728325
RAB33B	4.81222862927497
CA11	4.95576890560883
ALDOC	4.59671708033371
NUDT1	5.99802118702214
ZNF212	5.44795027067396
ACBD3	6.61105812724805
ZNF83	6.6206421373474
PRDM2	4.55773759888075
GDPD5	4.44575952161025
PDCD4	6.03064945776901
CEP350	6.41645956765512
FOXP3	3.28594272521796
SMYD3	5.84082411098155
CST7	4.50542464090751
SELL	4.99925374628887
CIAO1	6.15455484657779
LGI2	3.84857050752496
WDR45	6.83691532875726
ANKRD6	7.12551058798832
LTBP4	3.74666500130473
PSCD3	3.21763412741419
PYY	2.98715348348465
KCNC1	3.22144227291295
SIRT6	3.94246269148922
CCL19	4.22192470013047
ARHGEF9	4.30409239061838
ABR	4.45518597398588
C10orf22	6.61530016433484
STK17A	4.82526364890457
FOXE1	3.47898088692228
GML	3.30910437883988
CNGA3	3.13749120348561
CD38	4.30337719867321
ZDHHC6	7.55133370009818
NEFH	3.28974157326701
PGBD5	4.94164111726484
CTDSP2	7.38952959476218
RMND5B	6.47154697067649
ZNF257	3.69336816327772
DUSP4	4.21846863757897
FLJ22167	5.02359549007644
EXOSC7	6.93550580694653
ROR2	3.73393365840471
FOXM1	5.31281178948784
ZBTB48	4.53815648097848
BUD31	7.23635614985211
MAOA	3.55384499232301
CCDC41	4.00432557989269
TNNT3	3.83811441580992
FBXO11	5.75041729004619
GYPC	6.07558670492682
PLIN	3.87544199273242
RFXAP	3.46407392709038
C6orf15	3.7472933831633
RNF4	8.65091598791841
F8A1	7.50277354450824
PPP1R3D	4.24804583265541
GRB2	6.89232889309229
TPM3	3.18399527985265
SYT13	3.82244090611975
EPB42	3.35266890596303
RP5-1077B9.4	4.90921914913136
EIF1	9.96765441938198
CETN3	6.61267359329833
FPGT	3.82391733385477
PRY	3.48043584202778
NTHL1	5.54123466025754
POLR2B	8.85660371762085
RPS28	11.7976729037173
GDF10	3.03816496682039
COQ9	8.34560503204314
P2RX3	2.81644357445775
GCC2	7.44752028175096
RARRES3	8.94317208422667
PLXNA1	6.40744230771791
WBP4	4.21776486571165
KIAA0100	6.20010731346903
PMF1	6.45776223383182
HS2ST1	5.53738454611849
CRELD2	6.31921826943996
C8G	3.10627586418276
CD82	6.352057304347
PMM1	5.0416128676548
CBLL1	3.92561111999755
LIM2	3.36434375405532
VAX2	3.32940506592832
SETDB1	4.95144747433573
LRAP	5.8134699317226
GCLM	5.61460359002278
CPEB3	3.8614811118198
PPM1A	6.43131166271639
INTS1	4.03896351837921
MMP16	3.16222181653987
CAMTA1	4.55520147747556
SAMSN1	6.26632246133653
DRD3	2.88425661487627
GMPPA	4.66841445090272
C11orf73	5.11035363078071
AIPL1	3.90743762602588
PTP4A2	9.73746171319712
IL24	3.26213973270395
BDKRB1	3.48059398936788
HPCA	3.48391342167361
MLF1	5.64770840666902
SEC14L1	6.10711424781906
CHFR	5.01023731969599
EMILIN1	3.16476885455401
THADA	6.22914753887703
TAF12	5.28182619598052
NDUFS4	6.93523484441282
ID1	6.69449041551096
PIK3CB	4.09923575049639
COL18A1	6.95892727716684
PDZD3	3.72010509630479
TBC1D17	4.58183878286734
COX8A	9.91977879269282
CDCA4	5.33847280511219
C2orf44	4.39350803405836
C9orf16	8.59854597888852
ERBB2IP	7.67020218061155
EMX2	4.5709990605623
FUS	6.81312845731985
NIPSNAP3B	3.80457959915483
TF	3.41182024684608
CXorf56	5.48915780577663
CLCN4	3.44916817105614
PWP2	5.6462388637897
MMP15	5.27330587844292
MTMR14	6.35683637933273
NPR1	6.91046505403543
DNAL4	5.39128660007216
ELAC2	4.37772566015744
ASS1	11.4887644389745
IPP	5.69753457460851
TMEM59	9.44212255320369
POLR2J	8.60876219196604
SEC23IP	5.06312809322056
RGS4	4.02358347734286
UQCRC1	9.48205310662296
SNX6	6.99570013773859
DDX18	6.39071804791743
POLG	4.93219185925883
ADAM23	4.0115058990679
ZNHIT2	4.37859160619865
TFR2	3.26652492466323
NCDN	4.47319194136121
RAG1	3.21393334630662
POMT1	4.81521313710098
CYP1A1	3.59201658039162
SNAPC1	5.52904622995175
GNA11	5.24013142283509
CCDC52	3.17219277764382
CAPN1	7.09117466796528
DDHD2	4.71851531719715
UPF3A	6.35951781066284
LAGE3	5.96988551650932
GNRHR	3.22847127123024
UNC13B	5.43745657810171
TTLL4	4.86807695438383
PPBP	4.38647089242306
HTR3A	7.26420189616066
SDC2	4.09583674842413
ANKRD49	6.3949875280063
BTF3	9.76117065835283
COX7A2	10.6748865186041
SARS	8.37691177412708
C13orf18	4.18147698518541
CACNB1	3.97272295768634
QKI	5.86680189996514
SETMAR	6.03357994620563
LAMB4	3.12341938284343
MAN2B1	6.51783059327074
EML3	5.63043033720407
ACADL	3.10452997136088
OFD1	8.87394560156191
CGA	3.32924094358133
EIF3EIP	10.8741352453261
PEX16	5.23777261587259
GNG12	7.39550432584961
HABP4	4.25171282357645
CNTN2	3.63271326014019
ASNSD1	6.60943837026502
FUT4	3.69286458838317
DBH	3.47582791398140
CD53	8.4894529442612
HIST1H2BJ	3.64784067994735
TFAP2B	3.18196992896943
ACF	3.68834252390879
TMEM11	6.07943644222242
CDH8	3.35679488097496
C3orf32	3.45732889680795
AGPS	3.94770033624322
C4orf18	3.38578131921176
PCCB	6.04674833895155
IPO13	4.77742810360425
PECI	7.05901993255426
UNG	7.63245600833141
C6orf105	4.11155566225878
GSTP1	8.98362391856932
SUV420H1	7.86893386721713
ARHGAP15	5.24050865482123
LTBR	6.37840718631634
TDRKH	3.17427075723531
PSG4	3.43751169420693
SLC9A3R1	6.28362294498992
NBPF3	8.88236271955688
SLC9A3	3.69679702872216
OSBP	6.03946462693795
PRR5	4.52902346521419
CHMP7	4.92357177007698
ADRA1A	3.10092182965565
ASAH1	6.81818621641955
FKBP4	6.86154727558326
ZNF350	4.95375792103635
DOM3Z	6.32933128846771
GIPR	3.64541040566583
AHI1	4.64456925997338
BST1	3.81088430438569
NCR2	3.53261477578656
NADSYN1	4.50512172487322
UBE2W	6.01627118749787
RGS14	4.55546187878319
KRT15	4.9213817972915
SCN11A	3.93243410699616
GFI1	3.71095342992042
FHL1	4.14758023629362
SMC6	6.24582990092426
GATA1	3.38187704668264
OSGEP	4.80184411033485
ARMC6	4.66798857734586
HK3	3.76675939037934
PSMD5	6.68544518968661
RSU1	6.76104066590133
RPL4	11.8505712524313
MAD2L1	6.4250695002363
RBPMS	5.04398280330782
EIF4A3	8.3952480423661
E4F1	5.09464328661981
DLEC1	3.51653383520818
PRPF3	5.52179259074745
EMR1	3.54235106207211
CHMP2B	7.08551930228436
CAMSAP1	4.51030830958201
RPS21	9.23156413001163
XCR1	3.28793581091257
ARID5A	4.33330264739793
RBM6	6.35925143352149
UBE2N	7.25350200217331
KLF4	5.12394866297171
MGC4172	3.77514094549555
LMO4	7.0476350073282
KLKB1	3.32995875553354
HDAC3	6.6566288923063
HP	9.19092045890633
SCHIP1	5.45064178607512
BTK	4.81897978466568
KRCC1	8.72341013997054
PRND	3.03230927949192
C6orf27	3.52372417891846
PIGL	3.72858632153889
CLCA1	3.69967993688883
C1orf112	4.61608763046325
OLFML2A	6.18326539654352
HUS1	4.61885606106666
SFRS6	7.41557003125156
CXCR7	4.45891432717309
UIMC1	6.56150005440732
FXYD2	3.51128721343213
GOT2	8.05840269823524
ZNF667	3.58710003663479
TFEC	5.11865217233546
ATP7B	4.17864145049218
RAB38	4.47354746464995
POLD2	6.80127369087525
PPM1H	4.41481308746236
DCX	3.22454830749952
NFYC	6.05015006518188
ZNF228	3.74876314971256
KIN	5.57730480790663
PLSCR4	5.58146541269491
HIST1H4I	3.99516823453274
PPARGC1A	3.20150999843403
HIG2	6.73489285004854
KCNK10	4.11571252341361
EXOC1	8.47558662374413
OR6A2	4.16018519142009
ETFA	8.51091733585782
PDAP1	5.11715146241975
C19orf6	3.45318948535792
POLRMT	3.85623031232679
ZNF146	7.49193136542184
MIA2	3.12545808859046
LY6G6E	3.48318461854331
EIF4E2	6.83304072343959
