Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D06_491158
Composite Element REF	Signal
AACS	6.88252999111621
FSTL1	7.84673769259592
ELMO2	5.95100602473547
CREB3L1	4.30885754547873
RPS11	10.4051453593752
PNMA1	8.2418275360578
MMP2	7.03939551309266
SAMD4A	4.09600394419368
SMARCD3	7.35907431309151
A4GNT	3.51579330359805
C9orf39	3.10305756593405
PKNOX2	4.0478654485455
RALYL	3.28917659164751
ZHX3	4.22444482670299
ERCC5	5.75670616113873
RXFP3	3.20059513084926
APBB2	3.95274995493164
BBOX1	5.37244637232124
PRO0478	3.05658711353871
GCSH	7.6994259873715
XDH	4.54715612937207
EDN1	5.4532720157593
MTERF	6.31535441063822
PDCL3	7.51002888028208
CLK4	6.00760323261627
KCNG1	3.77214358884504
CXCR4	8.52355023127908
DECR1	8.07865331047369
SALL1	3.09610515339173
PTPRR	4.34318069921231
CADM4	3.49182729105759
IRAK1	10.1406483455460
CFHR5	3.15985240172507
HNRPD	7.30738983378857
TMSB10	12.3200263649428
CXCL3	4.69902326183931
LMAN1	3.95807173927723
SUHW1	3.67611935524833
CHD8	5.10449621889419
SUMO1	7.72932252844376
GP1BA	3.13041266764827
OR7A10	3.94405956403279
DDB1	7.71691447192263
CHRNA10	3.77423490063652
STYK1	3.36069574197192
MYO9B	4.78771627692513
CCNI	10.6435959634355
MMP7	9.82969776979286
EP300	6.86398517225088
CRNKL1	6.71333438368752
C9orf45	3.39773742552005
XAB2	4.24128843044617
RTN1	5.64136417022658
HIC2	4.19805889619361
TBX10	3.50666048488052
CENPQ	4.41449427580925
UTY	3.03531058204450
OR2W1	2.97128673290263
ATP5G2	10.7203528224563
ZEB1	3.92703300791779
ZG16	3.63698951639356
ERG	3.76230072357597
PARN	7.35714254391469
SOD2	6.4391971790633
JOSD3	8.13110115244284
ADAM5P	3.30007293553951
CHD9	5.7831368315993
hCG_40738	3.94907025345976
STK16	4.9438206017723
PDE1C	3.49571122888551
SEMA4D	6.70738304158565
AGPAT1	6.3435908883324
TOB2	6.56581540997956
BANK1	5.8939492525816
MAP3K3	5.43519080540294
MAX	5.53072232450829
GRM2	3.83052246026316
OSBPL8	7.73482278521624
PROSC	6.0811630395541
NR4A2	5.19159663479517
RICS	5.68821903588592
PIR	6.44203761016487
PPCS	9.09758273907178
IPO9	5.8721255935619
LONP1	6.43528696363604
EVC	3.75293663937293
CXCL13	6.73471871509191
SCYL3	5.35347288879222
KIAA1199	5.70374149646922
SORL1	10.4622579941368
NAT10	6.85864571503699
CHD1	6.10779861710229
SYN3	3.40852696038217
DMC1	4.00545065555473
SLC22A2	3.76451831488916
SERPINF1	7.93356631000594
C20orf27	6.20272005351787
OR7A17	3.19253137143155
RPS6KA5	4.53962954513073
LHB	3.06089231091436
TAOK3	5.13452126620877
STK25	5.30536626200993
SLC12A4	3.60220465243431
BRCA1	3.77599861535078
GBL	5.29632966017938
C14orf108	7.97861088095355
CDC25B	8.05673345637364
BMP3	3.11524896515759
MAP1LC3C	3.51972838386602
TMEM180	3.41229318637517
CRYGC	3.61469872486750
SLK	6.23174882885508
POU3F1	3.20865068061931
C20orf32	3.74080909761278
USP52	5.47868853490983
HIGD1B	3.92132131831786
BAZ1B	6.54703348138902
USP6NL	5.53208798929702
SLCO2B1	4.88641069021353
ABCD4	4.33159545391136
DIMT1L	6.01661040508828
SLC25A46	7.32825787197932
LARP7	6.3766005038866
TEK	3.66569871937416
CD160	3.75035329144363
TERF2IP	7.76371568271601
PHF20	5.99769152275738
COL1A1	7.96048288391261
KIAA0090	5.09166410165076
GTPBP1	4.71789549843996
GRK5	3.94630118126838
AP1S2	6.7843263201527
RAB33B	4.41373379786122
CA11	4.94509657522087
ALDOC	6.14472389374001
NUDT1	6.65789497271271
ZNF212	5.57310847156879
ACBD3	6.92376515543128
ZNF83	6.46285856787412
PRDM2	5.02253730917206
GDPD5	5.14798012968599
PDCD4	5.71970131486668
CEP350	5.8091453784181
FOXP3	3.17969318700411
SMYD3	5.62032846375355
CST7	6.43126230383771
SELL	4.94264765571340
CIAO1	6.28692178023177
LGI2	3.34401044562657
WDR45	7.82926603412742
ANKRD6	7.32371821752453
LTBP4	3.65239762741201
PSCD3	3.21286043399494
PYY	3.09580890740067
KCNC1	3.20997431391962
SIRT6	4.203940143598
CCL19	4.64699633758081
ARHGEF9	4.57472932792023
ABR	4.82206613969807
C10orf22	7.10218718002058
STK17A	5.62093896815866
