Hybridization REF	TCGA-A2-A0CP-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.620083333333333
CREB3L1	1.51075
RPS11	0.703
PNMA1	0.682
MMP2	0.861
C10orf90	-1.17875
ZHX3	0.08
ERCC5	0.48725
GPR98	-0.188125
RXFP3	0.181
APBB2	1.4535
PRO0478	-0.790125
KLHL13	-0.13625
PRSSL1	-0.318666666666667
PDCL3	0.539
DECR1	0.32475
SALL1	-2.38766666666667
CADM4	0.768166666666667
RPS18	0.687571428571429
HNRPD	-0.501166666666667
CFHR5	0.3924
SLC10A7	0.32325
OR2K2	0.328
LMAN1	-1.44925
SUHW1	-4.1175
CHD8	0.3052
SUMO1	0.6522
GP1BA	0.3636
DDB1	-0.179166666666667
MYO9B	-0.4835
MMP7	7.294
CRNKL1	0.434375
C9orf45	-0.9105
XAB2	-0.461625
RTN1	1.931
KLHL14	-1.038875
TBX10	-2.024
CENPQ	-2.17725
UTY	-1.05157142857143
ZBTB12	-0.972
DTNBP1	-0.074375
KBTBD8	-1.077
ZEB1	2.4135
ZG16	-0.8735
MIER1	1.5565
ADAM5P	-0.159
CHD9	0.2891875
STK16	0.21275
KIAA1486	-0.2245
TOB2	0.486
BANK1	2.67025
OR2V2	0.2785
GRM2	-0.0441666666666667
PROSC	0.991125
SPIN2B	0.00025
PIR	-2.60233333333333
IPO9	-0.6247
EVC	1.62316666666667
CXCL13	2.70216666666667
KIAA1199	0.186
SORL1	1.9625
NAT10	-0.56275
CHD1	-0.23575
SYN3	-0.137
SLC22A2	0.81525
SERPINF1	1.37383333333333
WDR34	-0.417
OR7A17	0.04275
C9orf11	0.276
RNF216L	-0.1415
LHB	-0.1475
STK25	-0.83325
TAOK3	1.23125
LOC152573	-2.09025
C3orf39	0.39175
C14orf108	0.0755
CDC25B	-2.56654545454545
BMP3	0.1985
TMEM180	-0.191
MAP1LC3C	0.85475
CRYGC	-0.2085
POU3F1	-1.5745
C20orf32	-1.365
CCDC95	0.133
HIGD1B	4.9045
USP6NL	-0.071
ABCD4	0.0505
DIMT1L	-0.983666666666667
TEK	1.476
SLC25A46	-0.79325
LARP7	-0.7672
CD160	0.339833333333333
MT1JP	0.548
PHF20	0.1506875
CPNE4	-1.945
GTPBP1	-0.824142857142857
RAB33B	0.561166666666667
ALDOC	-2.14975
ZNF212	-0.25575
NUDT1	-0.953333333333333
RFPL2	0.28375
ZNF83	0.0761666666666667
GDPD5	-2.07575
PDCD4	2.7004
CEP350	-0.08125
OR10A2	-0.39325
CST7	1.41325
CIAO1	-1.2045
SELL	0.265875
OR8J3	0.321
LTBP4	-0.448666666666667
SIRT6	-0.4295
CCL19	5.47175
PPIL1	-1.18883333333333
GBP7	0.695166666666667
STK17A	-0.9075
ABR	0.78925
OR9G1	0.076
FOXE1	-1.36475
CNGA3	1.1955
GML	0.241
CD38	-2.73575
ZDHHC6	-0.2725
NEFH	-0.71275
CTDSP2	0.6445
PGBD5	-1.74916666666667
CCNY	0.353285714285714
RMND5B	0.38025
ZNF257	-0.499
FLJ22167	-0.58275
EXOSC7	-0.0845
ROR2	1.471625
MAOA	0.354875
TNNT3	1.72916666666667
GYPC	-1.01275
C7orf33	0.172
PLIN	3.32816666666667
LOC90826	0.2795
RNF4	-0.1178
F8A1	0.3125
PLEKHG4	-2.03675
GRB2	-0.2398
HIST1H2AD	0.06025
DUS3L	-1.20266666666667
EIF1	-0.118333333333333
RP5-1077B9.4	-1.68316666666667
FPGT	1.60975
GDF10	2.0645
COQ9	-0.7745
GCC2	0.370428571428571
RARRES3	3.446875
PLXNA1	-0.2767
KIAA0100	0.0517
PMF1	-0.27625
FNDC1	5.7865
HS2ST1	-0.4485
CRELD2	-0.71675
C8G	-1.612
CD82	1.208
LIM2	-0.9
UNQ6490	-0.0925
MMP16	0.14425
DRD3	-0.705666666666667
C5orf26	0.207
C11orf73	-0.624875
PTP4A2	1.888125
OR4M2	-0.0655
HPCA	-1.87783333333333
SEC14L1	-0.674
CHFR	-0.553625
EMILIN1	1.4085
NDUFS4	-0.387
COL18A1	0.521875
PDZD3	0.282555555555556
C9orf16	-0.124333333333333
ERBB2IP	0.150333333333333
EMX2	4.17875
FUS	-0.93175
TF	-3.6197
CLCN4	-0.180333333333333
CXorf56	-0.12625
C11orf72	0.23225
ELAC2	-0.484083333333333
NPR1	-0.59025
ASS1	-1.26233333333333
USP42	0.194875
POLR2J	-1.2365
SEC23IP	0.683
UQCRC1	-0.3065
LOC729603	-0.60675
C1orf71	-0.399375
POLG	-2.995
ADAM23	-2.8505
TFR2	-1.79475
RICTOR	-0.6345
MGC39606	0.805
C19orf55	-0.455875
SNAPC1	-0.6515
GNA11	0.8615
CCDC52	-0.103666666666667
FSIP1	5.813
UPF3A	-0.288125
IGSF11	-1.35316666666667
LAGE3	0.2275
CHST6	0.368
UNC13B	-0.051375
TTLL4	-1.685125
ZNF687	-0.0195
SDC2	1.1094
COX7A2	-0.52725
LAMB4	0.00025
FAM24A	0.118
LRRTM3	-1.04133333333333
GPHB5	0.65475
OR4C13	-0.1425
EIF3EIP	0.049
HABP4	-0.989
TMEM125	3.76825
CNTN2	0.08625
ASNSD1	-0.15825
FUT4	-0.46475
ACF	-3.861
LOC158381	0.2975
CDH8	-0.54925
AGPS	-1.12216666666667
C4orf18	3.04225
PECI	0.079
UNG	-0.465625
GSTP1	-1.0615
DCUN1D5	-1.35083333333333
DKFZP564J0863	-0.8095
SLC9A3R1	0.81325
BCDO2	0.740375
CHMP7	-0.94575
REM2	0.703
DNHD1	-0.172125
FKBP4	-0.617875
ZNF350	1.95575
MGC11102	0.12225
BST1	1.70875
KISS1R	-0.38
NCR2	-0.435
DEFB125	-0.3385
UBE2W	1.733625
KRT15	5.10625
C10orf99	0.085
SCN11A	-0.303571428571429
GFI1	-2.2295
RDHE2	1.36516666666667
FHL1	-0.6405
OSGEP	0.594666666666667
GATA1	-3.2535
SMC6	-1.18175
TTTY14	-0.7865
LPIN3	-0.63825
RPL4	-0.3081
RBPMS	-0.1202
PRPF3	-0.771333333333333
EMR1	-1.588
SPATA19	0.13625
XCR1	1.2165
IRX3	1.6804
RBM6	-0.5325
KLF4	-1.332
UNC5CL	0.773
SEBOX	0.3705
BTK	-0.698
KRCC1	1.47225
C6orf27	1.56
SYTL5	-1.5205
PRND	2.28875
LOC653319	-1.1765
PIGL	-1.188625
HUS1	-0.828833333333333
