Hybridization REF	TCGA-D8-A140-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0413333333333333
CREB3L1	-0.234
RPS11	0.6965
PNMA1	0.08675
MMP2	-0.5155
C10orf90	-1.97225
ZHX3	-0.048
ERCC5	0.409
GPR98	1.838125
RXFP3	0.277
APBB2	1.77675
PRO0478	-0.337625
KLHL13	-0.05725
PRSSL1	-1.11916666666667
PDCL3	0.651333333333333
DECR1	0.495625
SALL1	-3.73983333333333
CADM4	0.195166666666667
RPS18	0.0269285714285714
HNRPD	-0.434333333333333
CFHR5	0.6885
SLC10A7	0.57225
OR2K2	1.8195
LMAN1	0.28175
SUHW1	-3.51225
CHD8	0.2018
SUMO1	0.3399
GP1BA	0.3131
DDB1	0.147833333333333
MYO9B	-0.078
MMP7	4.864
CRNKL1	0.933375
C9orf45	-0.9235
XAB2	0.20825
RTN1	0.883125
KLHL14	-0.479875
TBX10	-1.3005
CENPQ	-1.30075
UTY	-1.745
ZBTB12	-0.2975
DTNBP1	-0.044875
KBTBD8	-0.990833333333333
ZEB1	0.8255
ZG16	2.844
MIER1	1.0962
ADAM5P	-0.7245
CHD9	0.5035625
STK16	-0.23875
KIAA1486	-0.099
TOB2	0.794916666666667
BANK1	4.3795
OR2V2	-0.04625
GRM2	-0.243833333333333
PROSC	0.013625
SPIN2B	0.013
PIR	-1.30477777777778
IPO9	-0.1679
EVC	-0.1365
CXCL13	4.69416666666667
KIAA1199	-1.7093
SORL1	0.8715
NAT10	-0.41825
CHD1	1.10475
SYN3	0.70775
SLC22A2	-0.5985
SERPINF1	-0.237833333333333
WDR34	-0.17525
OR7A17	0.74
C9orf11	-0.087
RNF216L	-0.3405
LHB	-0.185
STK25	-0.851
TAOK3	0.257875
LOC152573	-3.00375
C3orf39	0.37775
C14orf108	0.9538
CDC25B	-1.63936363636364
BMP3	0.6915
TMEM180	-0.148
MAP1LC3C	0.5755
CRYGC	-0.9445
POU3F1	-1.445
C20orf32	-2.142
CCDC95	-0.4235
HIGD1B	3.7415
USP6NL	-0.892125
ABCD4	-0.357333333333333
DIMT1L	-0.696
TEK	1.3345
SLC25A46	-0.13675
LARP7	-0.8605
CD160	0.829
MT1JP	-0.907833333333333
PHF20	0.203875
CPNE4	-2.5515
GTPBP1	0.0245
RAB33B	0.762166666666667
ALDOC	-2.23425
ZNF212	-0.2785
NUDT1	-1.01733333333333
RFPL2	0.41075
ZNF83	0.537833333333333
GDPD5	-1.2845
PDCD4	0.6663
CEP350	0.7985
OR10A2	-0.0025
CST7	1.2465
CIAO1	-0.849
SELL	1.878625
OR8J3	0.272
LTBP4	-0.613
SIRT6	-0.2555
CCL19	3.367
PPIL1	-1.2335
GBP7	0.4636
STK17A	-1.2007
ABR	0.23375
OR9G1	0.24
FOXE1	-0.98875
CNGA3	0.5265
GML	0.4825
CD38	1.33825
ZDHHC6	0.0376666666666667
NEFH	-1.98975
CTDSP2	0.301583333333333
PGBD5	-1.88516666666667
CCNY	-0.310714285714286
RMND5B	0.445166666666667
ZNF257	-2.96175
FLJ22167	-0.668
EXOSC7	-0.776833333333333
ROR2	-0.237875
MAOA	1.0025
TNNT3	0.739833333333333
GYPC	-0.90075
C7orf33	0.6365
PLIN	3.0415
LOC90826	0.0715
RNF4	0.4864
F8A1	-0.327166666666667
PLEKHG4	0.17275
GRB2	0.3861
HIST1H2AD	2.529
DUS3L	-0.782666666666667
EIF1	0.739833333333333
RP5-1077B9.4	-0.958
FPGT	2.3745
GDF10	-0.697833333333333
COQ9	-0.1205
GCC2	0.686928571428571
RARRES3	2.186375
PLXNA1	-0.5936
KIAA0100	0.0385
PMF1	0.4625
FNDC1	4.25375
HS2ST1	-0.8455
CRELD2	1.13475
C8G	-1.8105
CD82	-0.45625
LIM2	-1.4335
UNQ6490	-3.447
MMP16	-0.30475
DRD3	-0.2635
C5orf26	-0.8435
C11orf73	-0.41025
PTP4A2	3.329625
OR4M2	0.107
HPCA	-1.29283333333333
SEC14L1	-0.414166666666667
CHFR	-0.384625
EMILIN1	0.274125
NDUFS4	-0.271
COL18A1	-0.107375
PDZD3	-0.0713
C9orf16	-0.0133333333333333
ERBB2IP	0.605166666666667
EMX2	3.26925
FUS	-0.96925
TF	-2.821
CLCN4	-0.462166666666667
CXorf56	0.51875
C11orf72	0.66275
ELAC2	-0.441416666666667
NPR1	-0.7615
ASS1	-2.50216666666667
USP42	0.06225
POLR2J	-0.2125
SEC23IP	0.724166666666667
UQCRC1	-0.475
LOC729603	-0.77075
C1orf71	0.617125
POLG	-2.0395
ADAM23	-3.231
TFR2	-1.69575
RICTOR	-0.1808
MGC39606	-0.2595
C19orf55	-0.247625
SNAPC1	-0.925333333333333
GNA11	0.045125
CCDC52	-0.145666666666667
FSIP1	5.624
UPF3A	-0.15225
IGSF11	-2.1815
LAGE3	0.287
CHST6	-2.904
UNC13B	-0.45125
TTLL4	-1.53925
ZNF687	0.866625
SDC2	0.1414
COX7A2	-0.74825
LAMB4	-0.4625
FAM24A	0.095
LRRTM3	-1.1122
GPHB5	0.01375
OR4C13	0.402
EIF3EIP	-0.373071428571429
HABP4	-1.347
TMEM125	3.238
CNTN2	0.489
ASNSD1	0.13875
FUT4	-0.364
ACF	-3.0135
LOC158381	0.89
CDH8	0.00799999999999998
AGPS	-1.1275
C4orf18	4.35775
PECI	-0.441
UNG	-1.660875
GSTP1	-1.771125
DCUN1D5	-2.12883333333333
DKFZP564J0863	-0.51975
SLC9A3R1	2.079625
BCDO2	-1.0055
CHMP7	-0.629375
REM2	-0.0885
DNHD1	-0.072125
FKBP4	0.326875
ZNF350	1.577
MGC11102	0.356375
BST1	1.75575
KISS1R	-0.6865
NCR2	-0.5215
DEFB125	-1.4695
UBE2W	1.407375
KRT15	-0.80125
C10orf99	-0.021
SCN11A	0.25575
GFI1	-0.149
RDHE2	0.3575
FHL1	-0.943
OSGEP	-0.572666666666667
GATA1	-2.8015
SMC6	-0.569
TTTY14	-0.91475
LPIN3	0.36425
RPL4	-0.9261
RBPMS	-0.0122
PRPF3	0.4265
EMR1	-1.9905
SPATA19	0.003
XCR1	0.1935
IRX3	0.7681
RBM6	-0.499
KLF4	-1.1218
UNC5CL	-0.95825
SEBOX	0.135
BTK	-0.46125
KRCC1	0.513
C6orf27	0.0955
SYTL5	0.7695
PRND	2.306125
LOC653319	-0.9075
PIGL	-0.305125
HUS1	-0.310166666666667
SFRS6	0.654833333333333
C17orf77	0.746
UIMC1	-0.847166666666667
FXYD2	-1.6249
LOC283152	0.64825
ZNF667	-1.518
ZCCHC12	-1.02125
TFEC	4.2943
ATP7B	-0.2295
POLD2	-0.989666666666667
RG9MTD1	-0.391
ACOT2	0.426166666666667
HIST1H4I	0.35575
PPARGC1A	-2.3668
ETFA	-1.0427
POLRMT	-0.423
ZNF146	0.015875
MIA2	-2.0695
KLHL6	0.573666666666667
HOXB5	-0.93475
NENF	1.1475
CUGBP1	0.78525
PRSS22	0.940666666666667
CASC4	1.8135
CUL4B	-0.2062
CENPJ	-1.8487
PITX1	-0.658666666666667
FLJ31033	2.46683333333333
CELSR3	0.0636666666666667
ZNF568	1.085
ITSN1	-0.0167500000000001
EHBP1L1	-0.491333333333333
C19orf2	-0.3635
DCTN1	-0.31975
LIN28B	-4.1505
TNKS2	0.48
C1QBP	-0.528
CADPS2	1.81475
SRMS	0.3095
GJA9	0.206166666666667
MGC24975	-1.44616666666667
TRIM45	0.338833333333333
TSP50	0.169
TCP1	-1.57825
TMED7	0.9106
CMA1	1.7175
CENPL	-0.4255
PTCRA	-0.237
FST	-3.37175
VWCE	-3.507
PAWR	1.228
ABCC12	0.0923333333333333
LDLR	-0.8264
ASTN2	1.1498
LOC441212	-0.918625
GPATCH8	-0.44325
TANC2	-0.417916666666667
KIF4A	-2.0635
C18orf18	-0.37675
PGM1	-0.598
KIAA0258	0.50275
CPD	0.954
SNCAIP	-1.04125
DCT	-3.662
HLA-DOA	2.52245454545454
OR11L1	0.4775
UPK1B	-0.705
DNAJB4	0.887625
UGT1A8	-0.4825
HIST1H4L	-3.3345
PECR	-0.556
HSPA2	0.9355
WFIKKN1	-2.119
SERP1	1.246625
SYDE2	4.76725
TACR2	0.6585
NUP85	-0.0655
CD177	-0.066
LGR5	-1.63883333333333
PIGG	0.6285
PTHR1	-1.98266666666667
RAB5A	0.5779
FLJ13224	-0.9435
USP9Y	-2.34183333333333
C7orf53	-0.4935
LRP1B	-1.4145
XAF1	3.2521
ABCG8	-1.563
ANKDD1A	-0.292666666666667
DAND5	-0.7295
SPAG6	0.591166666666667
LINCR	0.9515
ZDHHC22	-1.4685
CCDC60	0.64
THOC7	-0.662833333333333
TCTA	1.2249
OR8K3	-0.11675
NY-REN-7	-0.915
B2M	1.69316666666667
C6orf141	0.249375
LPPR4	2.49175
SQLE	-0.984625
SEPHS1	-0.97375
BTBD14B	0.0197142857142857
PLRG1	-0.31825
SPG7	-0.61725
ZNF614	-0.110833333333333
PARD6G	0.129333333333333
INPP5B	-0.8177
GRPEL2	0.102375
PPID	-0.3832
TRIM56	-0.21925
UBE2J1	0.363625
IL20RA	0.50225
LOC387856	-0.116
C1orf107	1.268
UTS2R	-1.21825
C19orf22	-0.44375
SAFB2	0.049125
KIAA0652	0.5505
KLRG1	0.252166666666667
MS4A8B	3.0245
FRAG1	0.9185
KIAA1546	0.87075
E2F4	-0.989
CLEC4M	-0.136
BTBD14A	-0.87875
KIAA0999	1.3056
GYPA	-3.609
TAC1	0.6968
TRAIP	-1.36416666666667
KIAA0232	0.837
ERCC8	-1.232875
GPX4	1.359125
KIAA0368	0.096375
GPR157	0.260833333333333
CTAGE4	0.947
C9orf30	-1.09783333333333
OR52A1	0.0725
HSP90B3P	-0.5685
ALG9	-0.5509
BTBD10	1.108
SDK2	0.24575
BAIAP3	-0.99075
RABGGTB	-0.128
ANKRD40	0.6555
KRT74	0.2465
CALCOCO2	0.262214285714286
SNCA	-2.9365
TMSL8	-5.52675
C2orf53	0.1835
ESRRB	-0.13525
ARHGAP26	-1.437
TDRD9	-2.904
HRAS	0.827166666666667
KLRC4	-2.3185
JAGN1	0.0738333333333333
BSDC1	0.364
RNF43	1.6502
NDUFAF1	0.91425
PHF12	0.34675
OR1L3	-0.264
FOLR2	2.34116666666667
LYZL6	0.166333333333333
tcag7.1260	-1.674
WSB1	-1.3605
PROS1	-1.1199
OSTN	0.405
PSMB8	0.9145
SOCS4	0.119625
DDIT4L	0.41225
MAS1	0.4125
MGC34796	1.56675
CSHL1	0.00100000000000001
