Hybridization REF	TCGA-A8-A08C-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.228333333333333
CREB3L1	0.5335
RPS11	0.722375
PNMA1	0.4275
MMP2	-0.283666666666667
C10orf90	-1.848
ZHX3	-0.554
ERCC5	0.09875
GPR98	-1.851
RXFP3	0.7265
APBB2	0.7
PRO0478	-0.76275
KLHL13	-3.881
PRSSL1	0.7015
PDCL3	0.0728333333333333
DECR1	0.513
SALL1	-2.9085
CADM4	1.1335
RPS18	1.06342857142857
HNRPD	-1.05083333333333
CFHR5	0.4804
SLC10A7	-0.125
OR2K2	1.004
LMAN1	-0.093375
SUHW1	-3.6085
CHD8	-0.1634
SUMO1	0.3723
GP1BA	-0.2895
DDB1	-0.2595
MYO9B	-0.4225
MMP7	5.19725
CRNKL1	0.309
C9orf45	-0.5555
XAB2	0.17625
RTN1	1.19342857142857
KLHL14	-1.0515
TBX10	-1.218
CENPQ	-1.8315
UTY	-1.31371428571429
ZBTB12	1.146
DTNBP1	0.16575
KBTBD8	-1.799
ZEB1	-0.515166666666667
ZG16	-2.414
MIER1	0.1795
ADAM5P	-0.8105
CHD9	-0.4770625
STK16	1.7785
KIAA1486	-0.3415
TOB2	1.33
BANK1	0.821
OR2V2	0.6645
GRM2	0.295333333333333
PROSC	0.673125
SPIN2B	-0.279
PIR	-2.08
IPO9	-0.0774
EVC	0.807666666666667
CXCL13	3.38966666666667
KIAA1199	-1.309
SORL1	-1.00075
NAT10	-0.26725
CHD1	-1.07575
SYN3	-1.13075
SLC22A2	-0.28925
SERPINF1	0.125
WDR34	-0.08875
OR7A17	0.02025
C9orf11	-0.2565
RNF216L	-0.6269
LHB	0.0365
STK25	-0.11775
TAOK3	-0.02375
LOC152573	-4.29025
C3orf39	1.075
C14orf108	0.3365
CDC25B	-2.57263636363636
BMP3	0.1085
TMEM180	-0.2075
MAP1LC3C	0.10625
CRYGC	-0.4345
POU3F1	-1.1556
