Hybridization REF	TCGA-A2-A04R-01A-41R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.252
CREB3L1	0.9585
RPS11	0.9165
PNMA1	1.1715
MMP2	-0.39
C10orf90	-2.30575
ZHX3	-0.356666666666667
ERCC5	-0.3015
GPR98	0.5315
RXFP3	0.4445
APBB2	1.606
PRO0478	-0.5115
KLHL13	-1.3
PRSSL1	-0.8445
PDCL3	0.545166666666667
DECR1	0.23925
SALL1	-3.23116666666667
CADM4	1.21966666666667
RPS18	0.701357142857143
HNRPD	-0.9595
CFHR5	0.295333333333333
SLC10A7	0.143375
OR2K2	0.332
LMAN1	-0.58875
SUHW1	-4.03425
CHD8	0.0874
SUMO1	0.7319
GP1BA	0.2275
DDB1	0.257
MYO9B	-0.2848
MMP7	6.219
CRNKL1	0.5875
C9orf45	-0.234666666666667
XAB2	0.557125
RTN1	0.4085
KLHL14	-1.81075
TBX10	-1.0405
CENPQ	-1.78075
UTY	-1.37992307692308
ZBTB12	-0.1335
DTNBP1	0.3805
KBTBD8	-2.5995
ZEB1	1.22316666666667
ZG16	1.8025
MIER1	0.602
ADAM5P	0.038
CHD9	0.0175
STK16	0.475
KIAA1486	-0.047
TOB2	0.578
BANK1	0.21825
OR2V2	0.118
GRM2	0.169166666666667
PROSC	0.04675
SPIN2B	-0.135
PIR	-2.09733333333333
IPO9	-0.1228
EVC	0.674833333333333
CXCL13	1.06766666666667
KIAA1199	-0.087
SORL1	0.25525
NAT10	-0.4035
CHD1	0.41025
SYN3	-0.591
SLC22A2	-0.5645
SERPINF1	0.341166666666667
WDR34	0.25175
OR7A17	0.279
C9orf11	-0.1375
RNF216L	0.3247
LHB	1.3645
STK25	-0.30675
TAOK3	0.554125
LOC152573	-3.6875
C3orf39	1.220125
C14orf108	-0.1468
CDC25B	-1.17018181818182
BMP3	0.407
TMEM180	-0.17
MAP1LC3C	-0.338
CRYGC	-0.7415
POU3F1	-1.297
C20orf32	-1.357
CCDC95	0.0105
HIGD1B	4.17125
USP6NL	-0.5385
ABCD4	-0.7655
DIMT1L	-0.260583333333333
TEK	0.8435
SLC25A46	0.20275
LARP7	-1.1756
CD160	0.385833333333333
MT1JP	-0.3325
PHF20	-0.183125
CPNE4	-1.47675
GTPBP1	-0.500214285714286
RAB33B	1.16366666666667
ALDOC	-2.83675
ZNF212	-0.104
NUDT1	-0.367166666666667
RFPL2	-0.005
ZNF83	-0.282166666666667
GDPD5	-1.668875
PDCD4	0.75
CEP350	0.7835
OR10A2	0.237
CST7	0.18825
CIAO1	-0.43575
SELL	1.084375
OR8J3	0.2135
LTBP4	-0.8015
SIRT6	0.0875
CCL19	4.245
PPIL1	-0.428166666666667
GBP7	0.141666666666667
STK17A	-0.8582
ABR	-0.65425
OR9G1	0.586
FOXE1	-0.78575
CNGA3	-0.037
GML	0.3105
CD38	-3.3885
ZDHHC6	0.0133333333333333
NEFH	-2.511
CTDSP2	-0.376
PGBD5	-2.37816666666667
CCNY	-0.00785714285714285
RMND5B	1.30683333333333
ZNF257	-2.82025
FLJ22167	-1.991375
EXOSC7	-0.340333333333333
ROR2	0.2195
MAOA	0.90125
TNNT3	0.063
GYPC	-1.49975
C7orf33	0.806
PLIN	2.648
LOC90826	-0.9045
RNF4	0.1092
F8A1	-0.466166666666667
PLEKHG4	-2.1085
GRB2	0.78225
HIST1H2AD	2.20425
DUS3L	-0.395166666666667
EIF1	0.471166666666667
RP5-1077B9.4	-1.468
FPGT	1.08475
GDF10	-0.938833333333333
COQ9	-0.58
GCC2	0.0471428571428572
RARRES3	1.86525
PLXNA1	-0.6984
KIAA0100	-0.9238
PMF1	0.10475
FNDC1	5.74725
HS2ST1	0.196583333333333
CRELD2	0.47475
C8G	-2.0755
CD82	-0.06525
LIM2	-1.093
UNQ6490	0.492
MMP16	1.12425
DRD3	-0.20475
C5orf26	-0.08075
C11orf73	-0.636
PTP4A2	0.7735
OR4M2	0.5765
HPCA	-1.83916666666667
SEC14L1	-0.6925
CHFR	0.1205
