Hybridization REF	TCGA-A8-A06P-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0763333333333333
CREB3L1	0.577
RPS11	0.524
PNMA1	0.728
MMP2	1.07
C10orf90	-1.497
ZHX3	-0.6735
ERCC5	0.29575
GPR98	-2.720125
RXFP3	0.3755
APBB2	2.20775
PRO0478	-0.702375
KLHL13	-3.05175
PRSSL1	-0.633
PDCL3	0.29
DECR1	0.0725
SALL1	-2.57783333333333
CADM4	0.469666666666667
RPS18	0.0248571428571429
HNRPD	-0.642416666666667
CFHR5	0.268166666666667
SLC10A7	0.28425
OR2K2	-0.0915
LMAN1	-0.565
SUHW1	-3.31425
CHD8	-0.1482
SUMO1	0.5662
GP1BA	0.0543
DDB1	-0.0446666666666667
MYO9B	-0.0533
MMP7	4.29425
CRNKL1	0.562875
C9orf45	-0.736333333333333
XAB2	0.153875
RTN1	1.566625
KLHL14	-1.48057142857143
TBX10	-0.3405
CENPQ	-2.0495
UTY	-1.14514285714286
ZBTB12	0.0425
DTNBP1	0.104125
KBTBD8	-1.79266666666667
ZEB1	1.28883333333333
ZG16	-0.55275
MIER1	0.8236
ADAM5P	0.782
CHD9	-0.2221875
STK16	0.82325
KIAA1486	-0.151
TOB2	0.240083333333333
BANK1	2.69625
OR2V2	0.0745
GRM2	0.163166666666667
PROSC	0.866875
SPIN2B	0.8125
PIR	-3.14866666666667
IPO9	-0.8247
EVC	0.704833333333333
CXCL13	1.67466666666667
KIAA1199	0.8086
SORL1	1.248
NAT10	-0.824
CHD1	-0.8385
SYN3	-0.24825
SLC22A2	-0.4485
SERPINF1	1.84633333333333
WDR34	0.4295
OR7A17	0.3505
C9orf11	-0.5505
RNF216L	-0.4449
LHB	-0.113
STK25	-0.48925
TAOK3	1.105375
LOC152573	-1.881
C3orf39	0.74625
C14orf108	0.2614
CDC25B	-1.98709090909091
BMP3	0.409
TMEM180	0.2925
MAP1LC3C	0.33625
CRYGC	-0.455
POU3F1	-1.0467
C20orf32	-0.542
CCDC95	-0.107
HIGD1B	4.0245
USP6NL	-0.510375
ABCD4	-0.134333333333333
DIMT1L	-1.03208333333333
TEK	1.22625
SLC25A46	-0.1165
LARP7	-1.343
CD160	0.371833333333333
MT1JP	-0.721166666666667
PHF20	-0.1349375
CPNE4	-1.64125
GTPBP1	-0.751857142857143
RAB33B	0.906666666666667
ALDOC	-2.334375
ZNF212	-0.125
NUDT1	-0.884333333333333
RFPL2	-0.14975
ZNF83	0.0343333333333333
GDPD5	-0.928
PDCD4	2.3058
CEP350	-0.3445
OR10A2	0.165
CST7	0.226
CIAO1	-0.96675
SELL	-0.034
OR8J3	-0.1295
LTBP4	-0.0693333333333333
SIRT6	-0.30775
CCL19	3.7265
PPIL1	-1.196
GBP7	0.0301666666666667
STK17A	-0.5803
ABR	0.62925
OR9G1	2.9765
FOXE1	-0.272875
CNGA3	0.444
GML	0.49
CD38	-2.00825
ZDHHC6	-0.248166666666667
NEFH	-2.1615
CTDSP2	0.705166666666667
PGBD5	-0.947833333333333
CCNY	0.287714285714286
RMND5B	0.919333333333333
ZNF257	-1.1465
FLJ22167	-0.304
EXOSC7	-0.270166666666667
ROR2	1.526375
MAOA	-0.014375
TNNT3	2.08266666666667
GYPC	-0.51175
C7orf33	0.4945
PLIN	3.865
LOC90826	-0.18425
RNF4	0.3634
F8A1	0.515666666666667
PLEKHG4	-2.612
GRB2	0.00314999999999999
HIST1H2AD	1.3275
DUS3L	-1.18316666666667
EIF1	-0.0358333333333333
RP5-1077B9.4	-1.1605
FPGT	1.35225
GDF10	2.60716666666667
COQ9	-0.86
GCC2	0.211
RARRES3	2.36725
PLXNA1	-0.4525
KIAA0100	-0.0161999999999999
PMF1	-0.089
FNDC1	5.7085
HS2ST1	0.0599166666666666
CRELD2	0.10575
C8G	-1.824
CD82	1.04425
LIM2	-0.8965
UNQ6490	0.634
MMP16	0.03425
DRD3	-0.1845
C5orf26	-0.36925
C11orf73	-0.16625
PTP4A2	0.657125
OR4M2	0.4645
HPCA	-0.742333333333333
SEC14L1	-0.615833333333333
CHFR	-0.396375
EMILIN1	1.356125
NDUFS4	-0.00524999999999999
COL18A1	0.630125
PDZD3	-0.0289
C9orf16	-0.122166666666667
ERBB2IP	0.319833333333333
EMX2	4.19125
FUS	-0.893
TF	-4.1462
CLCN4	-0.0735
CXorf56	0.12825
C11orf72	0.39525
ELAC2	-0.476916666666667
NPR1	-0.094
ASS1	-1.5975
USP42	-0.26425
POLR2J	-1.2675
SEC23IP	0.542666666666667
UQCRC1	0.21275
LOC729603	-0.30625
C1orf71	-0.310625
POLG	-2.296
ADAM23	-3.015
TFR2	-1.37625
RICTOR	-0.5751
MGC39606	0.0975
C19orf55	-0.27725
SNAPC1	-1.56066666666667
GNA11	0.819375
CCDC52	0.106833333333333
FSIP1	0.3835
UPF3A	0.147875
IGSF11	-2.39033333333333
LAGE3	0.035
CHST6	-0.612
UNC13B	0.361
TTLL4	-1.49575
ZNF687	0.096125
SDC2	2.1903
COX7A2	-0.025
LAMB4	-0.00824999999999999
FAM24A	0.137
LRRTM3	-0.8134
GPHB5	-0.16125
OR4C13	0.7645
EIF3EIP	-0.435071428571429
HABP4	0.0295
TMEM125	4.504
CNTN2	-0.001375
ASNSD1	-0.04125
FUT4	-0.46625
ACF	-3.1775
LOC158381	0.8105
CDH8	-0.7585
AGPS	-0.914166666666667
C4orf18	3.420375
PECI	0.210333333333333
UNG	-0.511125
GSTP1	-1.579625
DCUN1D5	-1.10566666666667
DKFZP564J0863	-0.69925
SLC9A3R1	1.26225
BCDO2	0.311125
CHMP7	-0.857375
REM2	0.8005
DNHD1	-0.304375
FKBP4	-0.1615
ZNF350	2.1545
MGC11102	0.293875
BST1	1.6915
KISS1R	0.531
NCR2	0.0475
DEFB125	0.8685
UBE2W	1.611875
KRT15	4.592875
C10orf99	0.277
SCN11A	0.182125
GFI1	-2.7575
RDHE2	4.71933333333333
FHL1	0.555833333333333
OSGEP	0.192166666666667
GATA1	-3.361
SMC6	-1.44125
TTTY14	-0.8375
LPIN3	-0.0315
RPL4	-0.5374
RBPMS	0.1355
PRPF3	-0.971333333333333
EMR1	-1.4605
SPATA19	-0.0983333333333333
XCR1	1.043
IRX3	1.3138
RBM6	-0.7335
KLF4	-0.1788
UNC5CL	-0.42675
SEBOX	0.259
BTK	-0.661
KRCC1	1.24375
C6orf27	1.101
SYTL5	-0.491
PRND	3.041875
LOC653319	-1.825
PIGL	-1.00775
HUS1	-0.516
SFRS6	0.55675
C17orf77	0.4935
UIMC1	-0.6885
FXYD2	-1.7245
LOC283152	0.4675
ZNF667	-0.08325
ZCCHC12	-0.93525
TFEC	2.6252
ATP7B	0.799833333333333
POLD2	-1.38983333333333
RG9MTD1	-0.32775
ACOT2	0.897333333333333
HIST1H4I	-0.170875
PPARGC1A	-1.6538
ETFA	-1.2783
POLRMT	-0.737
ZNF146	-0.08525
MIA2	-0.529
KLHL6	-0.886666666666667
HOXB5	-0.893625
NENF	0.166
CUGBP1	0.3175
PRSS22	1.98266666666667
CASC4	1.32
CUL4B	-0.00239999999999997
CENPJ	-2.0599
PITX1	0.3835
FLJ31033	0.396
CELSR3	-2.3325
ZNF568	0.219
ITSN1	-0.4345
EHBP1L1	-0.646833333333333
C19orf2	-0.93575
DCTN1	0.2445
LIN28B	-3.18516666666667
TNKS2	-0.55025
C1QBP	-0.403125
CADPS2	0.65275
SRMS	0.20525
GJA9	0.270666666666667
MGC24975	-0.599
TRIM45	-0.389
TSP50	-0.016
TCP1	-1.39725
TMED7	1.0494
CMA1	1.297
CENPL	-1.729
PTCRA	-0.1655
FST	-2.271
VWCE	-3.46075
PAWR	0.298
ABCC12	0.1215
LDLR	-0.8406
ASTN2	1.4488
LOC441212	-0.721
GPATCH8	-0.238
TANC2	-0.755833333333333
KIF4A	-2.929
C18orf18	-0.76375
PGM1	-0.85775
KIAA0258	0.62925
CPD	0.437625
SNCAIP	-0.59675
DCT	-4.113
HLA-DOA	2.47009090909091
OR11L1	0.3585
UPK1B	0.2992
DNAJB4	-0.314875
UGT1A8	-0.01375
HIST1H4L	-0.296
PECR	-1.1025
HSPA2	1.82225
WFIKKN1	-0.272
SERP1	1.96825
SYDE2	2.15525
TACR2	0.471
NUP85	-0.95175
CD177	2.64866666666667
LGR5	-2.0715
PIGG	-0.290083333333333
PTHR1	-0.503833333333333
RAB5A	0.8694
FLJ13224	-0.535
USP9Y	-1.1275
C7orf53	-0.8305
LRP1B	-0.21925
XAF1	0.845
ABCG8	-0.556
ANKDD1A	-0.324
DAND5	-2.595
SPAG6	-0.1585
LINCR	-0.43225
ZDHHC22	-1.4615
CCDC60	0.085
THOC7	-1.43283333333333
TCTA	0.7912
OR8K3	0.4595
NY-REN-7	-0.37025
B2M	0.8065
C6orf141	1.098
LPPR4	2.14625
SQLE	-1.22975
SEPHS1	-0.8055
BTBD14B	0.246642857142857
PLRG1	-0.41
SPG7	-0.979875
ZNF614	0.108666666666667
PARD6G	0.7105
INPP5B	-1.3003
GRPEL2	0.05325
PPID	-0.9041
TRIM56	-0.8105
UBE2J1	0.445875
IL20RA	1.81875
LOC387856	0.5325
C1orf107	0.420666666666667
UTS2R	0.623
C19orf22	-0.205
SAFB2	-0.043125
KIAA0652	0.3145
KLRG1	-0.657
MS4A8B	2.446
FRAG1	0.5385
KIAA1546	-0.12825
E2F4	-1.4268
CLEC4M	0.444
BTBD14A	-0.91
KIAA0999	1.1462
GYPA	-2.98266666666667
TAC1	1.1667
TRAIP	-1.67416666666667
KIAA0232	0.9834
ERCC8	-1.197625
GPX4	0.1965
KIAA0368	-0.455125
GPR157	-0.532
CTAGE4	0.455
C9orf30	-1.6045
OR52A1	0.374
HSP90B3P	-0.0885
ALG9	-0.4912
BTBD10	0.7565
SDK2	-0.888
BAIAP3	2.66425
RABGGTB	-0.803875
ANKRD40	-0.33
KRT74	0.902
CALCOCO2	0.399071428571429
SNCA	-3.023
TMSL8	-4.5695
C2orf53	0.423
ESRRB	-0.40125
ARHGAP26	-1.858375
TDRD9	-2.519
HRAS	0.137166666666667
KLRC4	-1.7645
JAGN1	0.0616666666666667
BSDC1	0.573
RNF43	-0.7755
NDUFAF1	0.323
PHF12	0.045
OR1L3	-0.071
FOLR2	2.15091666666667
LYZL6	0.505166666666667
tcag7.1260	-1.496
WSB1	-1.50633333333333
PROS1	-0.2562
OSTN	0.6985
PSMB8	-0.1815
SOCS4	-0.19825
DDIT4L	1.937
MAS1	0.212
MGC34796	1.19775
CSHL1	-0.219
TBCCD1	-0.0751666666666667
ZBTB7C	-0.48
AP2S1	-0.205875
P15RS	0.1094
VAT1	-0.0337
SHANK3	0.9125
TUFM	0.3925
