Hybridization REF	TCGA-D8-A145-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.742
CREB3L1	1.02675
RPS11	0.156
PNMA1	0.491
MMP2	1.961
C10orf90	-0.75475
ZHX3	0.0883333333333333
ERCC5	-0.0695
GPR98	-0.328125
RXFP3	-0.0155
APBB2	0.99475
PRO0478	-0.482625
KLHL13	-0.414
PRSSL1	-0.848166666666667
PDCL3	0.570666666666667
DECR1	-0.254875
SALL1	-3.53016666666667
CADM4	0.650833333333333
RPS18	-0.0687142857142857
HNRPD	-0.0556666666666667
CFHR5	0.63525
SLC10A7	0.564625
OR2K2	-0.3425
LMAN1	-0.538
SUHW1	-3.7565
CHD8	0.3531
SUMO1	-0.3
GP1BA	1.1243
DDB1	0.171666666666667
MYO9B	0.0666
MMP7	6.584
CRNKL1	1.242375
C9orf45	-1.13966666666667
XAB2	1.225
RTN1	1.67642857142857
KLHL14	-0.431
TBX10	-1.0365
CENPQ	-2.71975
UTY	-1.45784615384615
ZBTB12	0.0225
DTNBP1	-0.562125
KBTBD8	-0.569833333333333
ZEB1	1.58833333333333
ZG16	-1.17025
MIER1	0.4641
ADAM5P	-0.8955
CHD9	0.175125
STK16	-0.88275
KIAA1486	-0.4535
TOB2	0.980583333333333
BANK1	4.1995
OR2V2	0.17025
GRM2	0.108333333333333
PROSC	0.08275
SPIN2B	-0.02
PIR	-2.83811111111111
IPO9	-0.1932
EVC	1.302
CXCL13	4.90866666666667
KIAA1199	-2.1348
SORL1	0.37025
NAT10	-1.08275
CHD1	-0.5045
SYN3	0
SLC22A2	-0.181
SERPINF1	1.69666666666667
WDR34	-0.546
OR7A17	0.41825
C9orf11	-0.189
RNF216L	-0.3059
LHB	-0.275
STK25	-0.334875
TAOK3	0.317625
LOC152573	-1.878
C3orf39	0.701125
C14orf108	1.1087
CDC25B	-0.336909090909091
BMP3	0.586
TMEM180	-0.00549999999999999
MAP1LC3C	0.6875
CRYGC	-1.092
POU3F1	-1.9872
C20orf32	-1.9915
CCDC95	-0.0725
HIGD1B	3.91475
USP6NL	-0.497
ABCD4	0.0723333333333333
DIMT1L	-0.7755
TEK	2.296625
SLC25A46	-0.075
LARP7	-1.5758
CD160	0.500666666666667
MT1JP	-0.263333333333333
PHF20	0.2220625
CPNE4	-2.97625
GTPBP1	-0.289285714285714
RAB33B	2.331
ALDOC	-2.512875
ZNF212	-0.06925
NUDT1	-1.58816666666667
RFPL2	1.083
ZNF83	0.8675
GDPD5	-1.00125
PDCD4	1.1046
CEP350	0.90075
OR10A2	0.05825
CST7	1.3395
CIAO1	-1.268
SELL	1.342125
OR8J3	0.0485
LTBP4	0.756666666666667
SIRT6	-0.18475
CCL19	4.46275
PPIL1	-1.74283333333333
GBP7	-0.8376
STK17A	-0.8504
ABR	0.508
OR9G1	-0.484
FOXE1	-0.89775
CNGA3	2.3725
GML	0.3975
CD38	0.50575
ZDHHC6	0.228666666666667
NEFH	0.3185
CTDSP2	1.02125
PGBD5	-1.0245
CCNY	0.2435
RMND5B	0.531166666666667
ZNF257	0.1485
FLJ22167	0.468625
EXOSC7	-1.51333333333333
ROR2	1.537
MAOA	0.919125
TNNT3	2.6705
GYPC	-0.60575
C7orf33	1.428
PLIN	4.082
LOC90826	0.517
RNF4	0.4501
F8A1	0.483
PLEKHG4	-0.661
GRB2	0.16275
HIST1H2AD	-0.00475
DUS3L	-0.894666666666667
EIF1	-0.132
RP5-1077B9.4	-0.839166666666667
FPGT	1.84675
GDF10	4.00816666666667
COQ9	-0.457
GCC2	0.448357142857143
RARRES3	1.858
PLXNA1	-0.2914
KIAA0100	-0.2049
PMF1	-0.3225
FNDC1	5.56175
HS2ST1	-0.0968333333333333
CRELD2	0.26625
C8G	-2.1775
CD82	0.13625
LIM2	-1.053
UNQ6490	-0.3725
MMP16	0.216
DRD3	0.0185
C5orf26	-0.1955
C11orf73	-1.461875
PTP4A2	0.804375
OR4M2	0.5935
HPCA	-1.15666666666667
SEC14L1	0.00783333333333333
CHFR	-0.444375
EMILIN1	0.946875
NDUFS4	-0.07625
COL18A1	-0.381375
PDZD3	-0.0883
C9orf16	-0.332666666666667
ERBB2IP	0.160666666666667
EMX2	4.0615
FUS	-0.12125
TF	-3.1681
CLCN4	1.08883333333333
CXorf56	0.22075
C11orf72	0.24325
ELAC2	-0.558916666666667
NPR1	0.62675
ASS1	-1.28716666666667
USP42	0.0395
POLR2J	-0.6545
SEC23IP	0.997833333333333
UQCRC1	-0.71575
LOC729603	-0.01725
C1orf71	-0.357625
POLG	-2.362
ADAM23	-3.35375
TFR2	-1.56225
RICTOR	-0.7767
MGC39606	1.777
C19orf55	-0.256
SNAPC1	-1.132
GNA11	1.136875
CCDC52	0.738
FSIP1	5.1065
UPF3A	-0.347625
IGSF11	-2.51683333333333
LAGE3	-0.47175
CHST6	-1.8885
UNC13B	0.424625
TTLL4	-0.7645
ZNF687	0.41425
SDC2	-0.3662
COX7A2	-0.69375
LAMB4	0.72625
FAM24A	0.143
LRRTM3	-1.06933333333333
GPHB5	-0.42375
OR4C13	0.3675
EIF3EIP	-0.174
HABP4	0.058
TMEM125	2.8125
CNTN2	0.041625
ASNSD1	0.11425
FUT4	0.226625
ACF	-3.9485
LOC158381	0.434
CDH8	0.39625
AGPS	-1.114
C4orf18	3.808625
PECI	0.096
UNG	-1.222125
GSTP1	-1.0755
DCUN1D5	-2.14233333333333
DKFZP564J0863	-1.581
SLC9A3R1	1.1095
BCDO2	-0.469375
CHMP7	0.166
REM2	0.509
DNHD1	-0.764625
FKBP4	0.8035
ZNF350	2.69525
MGC11102	-1.08325
BST1	1.3195
KISS1R	-0.15
NCR2	-0.0475
DEFB125	-1.763
UBE2W	0.485875
KRT15	2.501125
C10orf99	-0.3095
SCN11A	0.584125
GFI1	-1.66225
RDHE2	3.40583333333333
FHL1	0.9045
OSGEP	-0.314166666666667
GATA1	-4.02083333333333
SMC6	-1.4035
TTTY14	-1.296
LPIN3	-0.4705
RPL4	-0.0610000000000001
RBPMS	0.21
PRPF3	-0.297
EMR1	-2.669
SPATA19	-0.23475
XCR1	-0.0685
IRX3	1.3687
RBM6	-0.64725
KLF4	0.1614
UNC5CL	-0.56275
SEBOX	0.0815
BTK	-0.87275
KRCC1	0.78825
C6orf27	0.3535
SYTL5	0.984
PRND	2.028125
LOC653319	-1.103
PIGL	-1.395375
HUS1	-0.467666666666667
SFRS6	-0.27575
C17orf77	0.837
UIMC1	-0.533166666666667
FXYD2	-2.052
LOC283152	0.222
ZNF667	0.91175
ZCCHC12	-0.66875
TFEC	3.4316
ATP7B	1.3455
POLD2	-0.853166666666667
RG9MTD1	0.03375
ACOT2	0.560166666666667
HIST1H4I	-1.6605
PPARGC1A	-1.9292
ETFA	-0.8607
POLRMT	-0.275
ZNF146	0.431
MIA2	-1.007
KLHL6	0.185333333333333
HOXB5	-1.340625
NENF	0.252333333333333
CUGBP1	-1.102
PRSS22	0.749666666666667
CASC4	1.6408
CUL4B	-0.3673
CENPJ	-1.2503
PITX1	-0.531166666666667
FLJ31033	0.972833333333333
CELSR3	-1.29283333333333
ZNF568	0.4545
ITSN1	-0.0494166666666666
EHBP1L1	-0.927333333333333
C19orf2	0.07825
DCTN1	1.1675
LIN28B	-4.8465
TNKS2	0.15225
C1QBP	-1.6045
CADPS2	0.60925
SRMS	0.20225
GJA9	-0.0933333333333333
MGC24975	-0.4925
TRIM45	-0.809166666666667
TSP50	0.25975
TCP1	-0.574
TMED7	0.1576
CMA1	2.522
CENPL	-1.14116666666667
PTCRA	-0.283
FST	-2.988
VWCE	-2.75325
PAWR	0.1635
ABCC12	1.67016666666667
LDLR	-2.3022
ASTN2	0.5901
LOC441212	-0.8445
GPATCH8	0.43275
TANC2	-0.676833333333333
KIF4A	-3.0425
C18orf18	-0.422
PGM1	-0.992
KIAA0258	-0.372
CPD	0.94425
SNCAIP	-0.21775
DCT	-4.93833333333333
HLA-DOA	2.75418181818182
OR11L1	0.7665
UPK1B	-0.446166666666667
DNAJB4	0.472
UGT1A8	-0.65025
HIST1H4L	-2.165
PECR	-1.99133333333333
HSPA2	0.51775
WFIKKN1	-1.3195
SERP1	0.79575
SYDE2	2.58475
TACR2	0.2745
NUP85	-0.879
CD177	-0.650166666666667
LGR5	-2.5115
PIGG	0.33225
PTHR1	-0.522333333333333
RAB5A	0.5056
FLJ13224	-0.619
USP9Y	-2.50733333333333
C7orf53	-0.137
LRP1B	0.44
XAF1	1.4819
ABCG8	-0.201
ANKDD1A	0.0296666666666667
DAND5	-1.816
SPAG6	0.918333333333333
LINCR	1.432
ZDHHC22	-2.0145
CCDC60	0.5835
THOC7	-1.32566666666667
TCTA	0.8919
OR8K3	-0.2505
NY-REN-7	-0.0865
B2M	0.376833333333333
C6orf141	-0.217375
LPPR4	3.18225
SQLE	-2.4435
SEPHS1	-0.4915
BTBD14B	0.0723571428571429
PLRG1	-0.406
SPG7	-0.087375
ZNF614	0.677166666666667
PARD6G	0.632166666666667
INPP5B	-0.4454
GRPEL2	-0.8125
PPID	-0.7248
TRIM56	0.4295
UBE2J1	0.70875
IL20RA	4.705
LOC387856	1.2815
C1orf107	0.70225
UTS2R	0.349
C19orf22	0.6355
SAFB2	0.006375
KIAA0652	0.3865
KLRG1	-0.114
MS4A8B	3.60783333333333
FRAG1	0.284
KIAA1546	0.91775
E2F4	-0.7431
CLEC4M	0.0118333333333334
BTBD14A	-1.61725
KIAA0999	1.4073
GYPA	-4.03333333333333
TAC1	3.8761
TRAIP	-2.09916666666667
KIAA0232	1.2854
ERCC8	-0.86725
GPX4	1.1775
KIAA0368	-0.151375
GPR157	-0.668833333333333
CTAGE4	1.4415
C9orf30	-1.63183333333333
OR52A1	-0.4165
HSP90B3P	-0.5175
ALG9	-0.69
BTBD10	0.56975
SDK2	0.55225
BAIAP3	0.22175
RABGGTB	-0.481125
ANKRD40	-0.469333333333333
KRT74	0.4865
CALCOCO2	0.229785714285714
SNCA	-2.8595
TMSL8	-4.79275
C2orf53	0.5155
ESRRB	-0.514
ARHGAP26	-1.32325
TDRD9	-2.37675
HRAS	-0.292
KLRC4	-1.8145
JAGN1	-1.027
BSDC1	0.14325
RNF43	0.5605
NDUFAF1	0.3435
PHF12	0.60525
OR1L3	0.21
FOLR2	2.39166666666667
LYZL6	0.382166666666667
tcag7.1260	-1.5535
WSB1	-1.22933333333333
PROS1	0.7076
OSTN	0.241
PSMB8	-0.22175
SOCS4	0.287
DDIT4L	2.463
MAS1	-3.2575
MGC34796	0.6295
CSHL1	0.367833333333333
TBCCD1	-0.0333333333333333
ZBTB7C	0.674
AP2S1	-0.621625
P15RS	0.3877
VAT1	-0.2555
SHANK3	1.26533333333333
TUFM	-0.347333333333333
THEG	-0.94675
KRT34	-2.097
SGSM3	-0.078875
TOMM22	-0.559125
SOCS3	1.08116666666667
CPO	1.2635
POP4	0.466
BHLHB3	2.7095
MALL	2.5015
OR1B1	-0.2535
PARK2	1.60566666666667
GPR124	1.4
LCE1E	-0.372
RUVBL2	-0.498
CGRRF1	1.1238
ACPL2	0.76625
WNT10B	-1.627875
BAIAP2L2	-2.45025
ISCA1	-0.0465
C1orf125	-0.054
RPAP1	-0.84925
RAI16	0.228833333333333
RPL27	-0.526875
NLRP9	-0.114
EPN1	0.68
LOC388610	-0.916125
SLC35A1	1.5765
GAL	-5.0875
SLC14A2	0.1835
RDH11	-0.245833333333333
FAM138F	-0.554
AUH	0.1585
FLJ40243	0.2655
C14orf129	0.4355
MBD2	0.121666666666667
ABHD14B	0.512375
PIGT	1.24675
ALS2CR4	0.388625
ALAS1	0.0614
FOXO1	1.66483333333333
CRLF3	-0.633125
C20orf107	0.043
FARS2	0.24325
CCDC28A	0.25575
NPHP3	-0.50025
OR13F1	0.402
TSEN54	-0.89475
DEFB106B	-0.5242
OR8B4	0.503
STH	2.268
ZC3H14	-0.43175
CBX2	-0.119
TMEM49	-1.04825
C6orf21	0.499
FLJ20920	0.791375
CRTAP	0.271428571428571
DDX50	-0.1815
STYXL1	-0.43
BLVRB	-0.179
LOC147650	-0.460666666666667
MMP24	0.085
GRID1	3.17333333333333
BANF1	-0.0818333333333333
CTAGEP	0.31175
HMBS	-2.33175
SLC25A24	0.781166666666667
C14orf50	1.5685
MRO	-0.284666666666667
SLC25A15	-1.562
FAM84B	1.0731
TDP1	-0.576
C16orf78	-0.301833333333333
C11orf57	-0.134
RFK	-0.61325
ZFYVE9	-0.460875
STCH	-0.6398
WIBG	0.34675
LOC283871	-1.008
GBA2	0.000999999999999985
NDUFB3	-0.69875
HSD17B13	-1.25675
GRIN3A	0.992666666666667
FMNL1	-0.257333333333333
SEPT7	-0.2914
GNLY	2.9475
GRAMD1C	1.10916666666667
ZNF165	-0.48825
USP38	1.34575
FAM83A	-3.8035
C14orf24	0.274416666666667
ARMCX3	1.901875
ARHGDIB	0.6635
AK1	-0.392125
KIAA1045	0.76125
DNAJB13	-0.1295
NEU2	1.6885
HIST1H4B	-2.2615
FAM20B	-0.5795
HES2	1.58971428571429
FAM73B	-0.2587
LOC388381	-0.0105
INTS7	-0.136636363636364
AMPH	2.1635
ZNF775	-0.054625
UCKL1	-0.399666666666667
C10orf97	0.32375
C1orf161	0.19875
ALDH1L1	0.47525
FLJ39378	0.09925
SLC23A1	-2.4605
RBM4B	0.05925
THAP4	0.0318333333333333
OGFRL1	0.03775
KIAA0831	0.84125
PPP1R15A	0.412666666666667
C1orf96	-0.874
C12orf11	-0.9615
BMF	1.516875
MAN1A1	-0.44475
KIAA1600	0.755833333333333
NLGN4X	0.054
ALOX12	-1.19366666666667
RB1CC1	-0.1228
NEIL2	-0.0429
EIF4E	-0.370272727272727
ABHD5	-0.7325
EXOC4	0.111333333333333
CIP29	-0.897666666666667
BATF2	-0.69575
SLC29A4	-0.466625
HTR4	0.1645
EMB	-0.27375
TRAF6	0.6965
LMNB1	-4.629
FAM19A5	0.23225
SHE	3.1345
PIK3C2B	1.55275
C15orf15	-0.665
USP15	0.2221
TCEAL2	2.303
C5orf39	-0.238666666666667
PTGER2	1.16625
SLC31A1	-1.3419375
IFT172	0.16775
ADAM29	-0.11025
GFOD1	0.318
ST7L	0.6745
C15orf26	-2.94475
PKN3	-0.869
CNTD1	2.2385
COMMD1	0.42675
NTRK2	3.66791666666667
FOXN3	0.63175
MFGE8	0.4217
PFKFB2	0.602833333333333
TAS2R4	-0.06425
ENTHD1	0.0595
PRMT5	-0.16375
MGC16384	-0.484875
LOC442229	-1.04425
TSKU	1.6125
KRTCAP3	0.803125
PDLIM1	1.418
KCNS2	0.97725
RNF126	-0.349
CEP63	0.10075
CLIC4	0.735125
hCG_1990170	2.30875
ACR	0.711
KLK7	2.11325
ALOX5AP	2.607125
RIPK3	3.35825
TAS2R9	0.016
C19orf18	2.112
BIRC6	0.108571428571429
ZNF16	1.128
RFT1	-1.11625
SLC8A2	-0.42975
TACC1	0.367125
ITGAD	1.3235
SAMHD1	1.10875
SH3PXD2B	1.8233
EPC2	1.18125
C20orf85	4.5775
ATP13A2	1.47516666666667
KRT4	-0.193875
CAPNS1	1.42775
MDM2	-0.565916666666667
PCDH20	1.75375
KCNK9	0.5655
OR2C1	0.169
KLHDC3	-0.304666666666667
IPPK	0.1275
EFHD2	0.27375
GALR3	0.315
NBEA	0.3905
ABCA6	3.8941
CLDN3	1.14383333333333
AKT2	-0.257428571428571
EGFR	-0.7163
RBM16	0.71425
ZDHHC3	-0.3957
SLC25A4	-0.127666666666667
CYB5B	-1.1665
CPXM1	1.0165
NDRG1	-1.11323076923077
FLJ43826	0.1365
OR5L2	0.301333333333333
FARP2	0.8719
MRPL46	-0.764416666666667
LDHAL6B	-0.0413333333333333
MAPKAPK3	-0.7595
NCAM2	-2.313
PRKD2	0.7155
ZFP36L1	1.5201
CYSLTR1	0.59575
OR4C3	0.444
HIST1H2AJ	1.325
CCNB2	-3.63833333333333
ZNF10	0.319625
TMEM175	0.0605
FAM134A	0.950833333333333
TIGD4	0.036
PCNP	0.2425
MGC39715	1.30325
LQK1	-3.1085
CREB1	1.1972
TMPRSS3	-1.378
C4orf32	1.471
LAT	-1.47958333333333
KCNA3	1.02
SKIV2L2	-0.34225
ROPN1B	-0.114
tcag7.23	0.2005
CDT1	-3.3485
ZHX2	1.25825
CD28	-2.9875
ZNF624	1.235
SEPT2	0.430916666666667
SOHLH2	-1.47125
MCOLN3	-0.674375
UNQ1945	0.1365
MASP2	-1.626
ZNRF3	-0.2039
GPATCH3	-0.10475
AGL	2.15525
QRICH2	-0.2425
PSD4	1.59
CCNB1IP1	-2.115
ENPP7	0.11875
OBFC1	-0.17925
KCNG3	-2.331
C14orf79	1.07891666666667
ENPEP	2.30283333333333
SCT	0.396
SKI	0.452625
SEC61G	-1.19625
