Hybridization REF	TCGA-AN-A0FT-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0219166666666666
CREB3L1	2.31225
RPS11	0.323
PNMA1	-0.69625
MMP2	0.359
C10orf90	-1.8595
ZHX3	-0.619666666666667
ERCC5	1.23475
GPR98	-1.546875
RXFP3	1.61
APBB2	2.597
PRO0478	-0.92225
KLHL13	-1.8855
PRSSL1	-0.506666666666667
PDCL3	0.759833333333333
DECR1	-0.477
SALL1	-3.48
CADM4	1.44283333333333
RPS18	0.126714285714286
HNRPD	-1.07541666666667
CFHR5	0.504
SLC10A7	0.19975
OR2K2	0.0325
LMAN1	-0.668125
SUHW1	-3.1355
CHD8	0.8335
SUMO1	1.0729
GP1BA	0.6024
DDB1	-0.479833333333333
MYO9B	-0.0945
MMP7	2.66975
CRNKL1	0.54025
C9orf45	-0.94
XAB2	-0.276375
RTN1	0.286142857142857
KLHL14	-1.897
TBX10	-0.242
CENPQ	-1.41025
UTY	-1.27457142857143
ZBTB12	0.763
DTNBP1	0.102125
KBTBD8	-1.84716666666667
ZEB1	1.43016666666667
ZG16	1.38775
MIER1	0.5991
ADAM5P	1.235
CHD9	0.141375
STK16	0.95175
KIAA1486	0.101
TOB2	1.7845
BANK1	1.0845
OR2V2	0.28025
GRM2	0.519166666666667
PROSC	-0.426625
SPIN2B	-0.00525
PIR	-2.74588888888889
IPO9	-0.0568
EVC	0.0186666666666667
CXCL13	1.64083333333333
KIAA1199	0.5614
SORL1	1.497
NAT10	-1.01
CHD1	-1.111
SYN3	0.26725
SLC22A2	0.065
SERPINF1	1.246
WDR34	0.02325
OR7A17	0.492
C9orf11	-0.5845
RNF216L	0.522
LHB	0.304
STK25	-1.126
TAOK3	0.753375
LOC152573	-2.966
C3orf39	-1.421625
C14orf108	-0.9498
CDC25B	-1.90509090909091
BMP3	0.1495
TMEM180	0.566
MAP1LC3C	-0.8345
CRYGC	-0.5465
POU3F1	-0.6952
C20orf32	-0.5155
CCDC95	0.5705
HIGD1B	4.4475
USP6NL	-0.241875
ABCD4	-0.458166666666667
DIMT1L	-1.53933333333333
TEK	1.808125
SLC25A46	-1.62025
LARP7	-0.9359
CD160	-0.1235
MT1JP	-0.9385
PHF20	-0.60325
CPNE4	0.86425
GTPBP1	0.387714285714286
RAB33B	0.444166666666667
ALDOC	-2.40125
ZNF212	-0.52225
NUDT1	-0.845666666666667
RFPL2	-0.4385
ZNF83	-0.0708333333333333
GDPD5	-1.360625
PDCD4	1.6049
CEP350	-0.298
OR10A2	0.79675
CST7	-0.01625
CIAO1	-0.544
SELL	-0.101285714285714
OR8J3	0.6925
LTBP4	0.301333333333333
SIRT6	0.1575
CCL19	4.866
PPIL1	-1.0355
GBP7	1.79016666666667
STK17A	-0.8625
ABR	1.088
OR9G1	0.501
FOXE1	-0.454
CNGA3	0.3275
GML	0.6745
CD38	-3.73275
ZDHHC6	0.0113333333333333
NEFH	-2.426
CTDSP2	-0.119583333333333
PGBD5	-2.23566666666667
CCNY	0.716785714285714
RMND5B	-0.276416666666667
ZNF257	-1.992
FLJ22167	-0.3945
EXOSC7	-0.446
ROR2	0.927375
MAOA	0.262625
TNNT3	1.26333333333333
GYPC	-0.90425
C7orf33	0.839
PLIN	2.06966666666667
LOC90826	-1.19825
RNF4	-0.9522
F8A1	0.483666666666667
PLEKHG4	-2.33175
GRB2	-0.059
HIST1H2AD	1.734
DUS3L	-1.25533333333333
EIF1	-1.01866666666667
RP5-1077B9.4	-0.652333333333333
FPGT	0.7855
GDF10	0.938166666666667
COQ9	-0.1025
GCC2	0.0878571428571429
RARRES3	2.3305
PLXNA1	-0.3094
KIAA0100	1.8823
PMF1	-0.09775
FNDC1	5.8685
HS2ST1	0.5605
CRELD2	-0.23625
C8G	-0.686
CD82	-0.26725
LIM2	-0.9345
UNQ6490	0.0645
MMP16	-0.13775
DRD3	0.206
C5orf26	-1.81125
C11orf73	-1.599875
PTP4A2	0.301125
OR4M2	1.071
HPCA	-1.31183333333333
SEC14L1	0.3145
CHFR	0.62675
EMILIN1	1.210125
NDUFS4	-1.7425
COL18A1	0.4385
PDZD3	-0.1111
C9orf16	1.00633333333333
ERBB2IP	0.019
EMX2	4.539
FUS	-1.302
TF	-3.7669
CLCN4	-0.827333333333333
CXorf56	-0.68375
C11orf72	0.74975
ELAC2	-0.137083333333333
NPR1	-0.204
ASS1	0.722166666666667
USP42	0.555375
POLR2J	-0.9545
SEC23IP	0.456166666666667
UQCRC1	-0.26025
LOC729603	-0.8895
C1orf71	0.29775
POLG	-2.6495
ADAM23	-3.07925
TFR2	-0.91575
