Hybridization REF	TCGA-C8-A12T-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.47066666666667
CREB3L1	0.862
RPS11	1.4685
PNMA1	-0.195
MMP2	1.70283333333333
C10orf90	-1.8535
ZHX3	-0.558666666666667
ERCC5	-0.4555
GPR98	0.184714285714286
RXFP3	0.0735
APBB2	1.199
PRO0478	-1.235
KLHL13	-1.993
PRSSL1	-0.751333333333333
PDCL3	0.963666666666667
DECR1	-0.496625
SALL1	-1.8395
CADM4	0.0621666666666667
RPS18	-0.354
HNRPD	-0.148416666666667
CFHR5	0.068
SLC10A7	-0.043625
OR2K2	-0.7795
LMAN1	-0.42
SUHW1	-3.614
CHD8	0.1667
SUMO1	-0.5537
GP1BA	-0.6815
DDB1	0.0828333333333333
MYO9B	0.0844
MMP7	4.977
CRNKL1	0.91575
C9orf45	-1.58566666666667
XAB2	0.028625
RTN1	1.2775
KLHL14	-1.85475
TBX10	-1.411
CENPQ	-1.58125
UTY	-1.81275
ZBTB12	-0.2855
DTNBP1	-0.3795
KBTBD8	-0.817666666666667
ZEB1	1.48966666666667
ZG16	-1.923
MIER1	0.4855
ADAM5P	0.35
CHD9	-0.1740625
STK16	-1.5805
KIAA1486	-0.217
TOB2	0.699916666666667
BANK1	2.73075
OR2V2	-0.296
GRM2	0.3065
PROSC	0.898125
SPIN2B	-0.63025
PIR	-1.88655555555556
IPO9	-0.5122
EVC	1.6315
CXCL13	7.2955
KIAA1199	0.8726
SORL1	0.5065
NAT10	-0.35875
CHD1	-0.5995
SYN3	-0.54525
SLC22A2	0.08825
SERPINF1	1.09133333333333
WDR34	-0.48675
OR7A17	0.5235
C9orf11	-0.648
RNF216L	-0.938
LHB	0.016
STK25	-0.46675
TAOK3	0.822625
LOC152573	-3.49975
C3orf39	0.465625
C14orf108	0.5657
CDC25B	-0.720272727272727
BMP3	0.3535
TMEM180	0.6835
MAP1LC3C	0.125
CRYGC	-0.7435
POU3F1	-1.5697
C20orf32	-2.1535
CCDC95	-0.501
HIGD1B	3.804
USP6NL	-0.546375
ABCD4	-0.885333333333334
DIMT1L	-0.750333333333333
TEK	0.65225
SLC25A46	-0.35675
LARP7	-1.2613
CD160	0.269333333333333
MT1JP	-0.922666666666667
PHF20	1.1059375
CPNE4	-1.981
GTPBP1	-0.347928571428571
RAB33B	1.71083333333333
ALDOC	0.2125
ZNF212	-0.74025
NUDT1	-0.588166666666667
RFPL2	-1.2395
ZNF83	0.904
GDPD5	-0.98225
PDCD4	1.46775
CEP350	0.25625
OR10A2	0.01925
CST7	1.705
CIAO1	-0.9195
SELL	0.72425
OR8J3	-0.117
LTBP4	-0.730333333333333
SIRT6	-0.1145
CCL19	1.82475
PPIL1	-1.2525
GBP7	1.13383333333333
STK17A	-0.9112
ABR	0.2025
OR9G1	0.543
FOXE1	-1.204625
CNGA3	2.9835
GML	0.6505
CD38	-2.512
ZDHHC6	1.07066666666667
NEFH	-2.12425
CTDSP2	0.91825
PGBD5	-0.254333333333333
CCNY	0.316071428571429
RMND5B	0.527
ZNF257	-0.828
FLJ22167	0.59975
EXOSC7	-0.180833333333333
ROR2	2.3585
MAOA	-2.218
TNNT3	0.107333333333333
GYPC	-0.89475
C7orf33	0.8185
PLIN	0.258833333333333
LOC90826	0.09
RNF4	0.2197
F8A1	0.0281666666666667
PLEKHG4	-3.306
GRB2	0.48795
HIST1H2AD	-0.97675
DUS3L	-1.0015
EIF1	-0.4175
RP5-1077B9.4	-1.1385
FPGT	1.38775
GDF10	-1.5795
COQ9	-0.0365
GCC2	0.306285714285714
RARRES3	2.54775
PLXNA1	-0.2947
KIAA0100	1.3097
PMF1	-0.02475
FNDC1	5.0365
HS2ST1	-0.9415
CRELD2	0.2825
C8G	-2.4475
CD82	0.39525
LIM2	-1.522
UNQ6490	0.4065
MMP16	1.97025
DRD3	-0.2925
C5orf26	-1.08325
C11orf73	-0.67375
PTP4A2	0.441625
OR4M2	-0.667
HPCA	-0.5995
SEC14L1	-0.584833333333333
CHFR	0.086875
EMILIN1	1.045625
NDUFS4	-0.19825
COL18A1	0.238875
PDZD3	0.0338
C9orf16	-0.701833333333333
ERBB2IP	-0.4495
EMX2	3.8915
FUS	-0.86625
TF	-3.6627
CLCN4	-0.360166666666667
CXorf56	0.7405
C11orf72	0.39225
ELAC2	0.0975833333333333
NPR1	-0.767
ASS1	-2.8895
USP42	-0.13375
POLR2J	-1.387
SEC23IP	1.43166666666667
UQCRC1	0.1575
LOC729603	-0.305
C1orf71	-0.685625
POLG	-1.148
ADAM23	-2.89225
TFR2	-0.8725
RICTOR	-1.1481
MGC39606	0.443
C19orf55	-0.325875
SNAPC1	-1.10416666666667
GNA11	0.680125
CCDC52	-0.296
FSIP1	4.985
UPF3A	-0.01125
IGSF11	-1.8
LAGE3	0.0115
CHST6	-0.616
UNC13B	0.520875
TTLL4	-1.402875
ZNF687	0.350125
SDC2	0.4601
COX7A2	-0.4775
LAMB4	-0.209
FAM24A	0.4915
LRRTM3	-1.83133333333333
GPHB5	0.159
OR4C13	-0.7465
EIF3EIP	-0.0258571428571428
HABP4	0.032
TMEM125	2.10675
CNTN2	0.077375
ASNSD1	-0.17425
FUT4	0.139125
ACF	-3.65925
LOC158381	0.3905
CDH8	-0.561
AGPS	-1.5955
C4orf18	2.269375
PECI	-0.399333333333333
UNG	-0.052
GSTP1	-1.906125
DCUN1D5	-1.57766666666667
DKFZP564J0863	0.50425
SLC9A3R1	1.873375
BCDO2	-1.583875
CHMP7	0.979625
REM2	1.2655
DNHD1	-0.94475
FKBP4	0.67925
ZNF350	3.489
MGC11102	0.5595
BST1	1.7125
KISS1R	-1.095
NCR2	-0.74
DEFB125	-2.1855
UBE2W	1.290125
KRT15	-0.27875
C10orf99	0.1185
SCN11A	0.025125
GFI1	-2.35875
RDHE2	4.96533333333333
FHL1	-0.8155
OSGEP	-0.118833333333333
GATA1	-2.96
SMC6	-0.64475
TTTY14	-1.626
LPIN3	-0.3685
RPL4	0.273
RBPMS	0.7576
PRPF3	-0.2015
EMR1	-2.0765
SPATA19	0.24425
XCR1	0.3495
IRX3	1.1438
RBM6	-0.40375
KLF4	-0.3097
UNC5CL	-0.2475
SEBOX	0.253
BTK	-0.343
KRCC1	0.937
C6orf27	0.1585
SYTL5	0.5135
PRND	3.14225
LOC653319	-1.6705
PIGL	-0.71125
HUS1	-0.234833333333333
SFRS6	0.0403333333333333
C17orf77	0.6195
UIMC1	-0.549666666666667
FXYD2	-2.0474
LOC283152	0.125
ZNF667	1.2075
ZCCHC12	-0.77975
TFEC	3.2731
ATP7B	1.358
POLD2	-0.295166666666667
RG9MTD1	-0.1055
ACOT2	0.445833333333333
HIST1H4I	-0.964875
PPARGC1A	-2.3825
ETFA	-0.4096
POLRMT	-0.62525
ZNF146	0.479625
MIA2	-2.3155
